REF_DATE,GEO,Custodial and community admissions,VALUE
2000/2001,Northwest Territories,Sentenced,802
2000/2001,Northwest Territories,Remand,628
2000/2001,Northwest Territories,Other custodial statuses,1
2000/2001,Northwest Territories,Total community admissions,
2000/2001,Northwest Territories,Probation and conditional sentences,
2000/2001,Northwest Territories,Probation,
2000/2001,Northwest Territories,Conditional sentence,
2000/2001,Northwest Territories,Other community programs,
2000/2001,Northwest Territories,Unknown community admissions,
2000/2001,Nunavut,Total custodial admissions,434
2000/2001,Nunavut,Sentenced,229
2000/2001,Nunavut,Remand,205
2000/2001,Nunavut,Total community admissions,
2000/2001,Nunavut,Probation and conditional sentences,
2000/2001,Nunavut,Probation,
2000/2001,Nunavut,Conditional sentence,
2000/2001,Nunavut,Other community programs,
2000/2001,Nunavut,Unknown community admissions,
2001/2002,All Provinces and territories,Total custodial admissions,205885
2001/2002,All Provinces and territories,Sentenced,68087
2001/2002,All Provinces and territories,Remand,111601
2001/2002,All Provinces and territories,Other custodial statuses,26197
2001/2002,All Provinces and territories,Total community admissions,152357
2001/2002,All Provinces and territories,Probation and conditional sentences,102402
2001/2002,All Provinces and territories,Probation,83941
2001/2002,All Provinces and territories,Conditional sentence,18461
2001/2002,All Provinces and territories,Other community programs,49953
2001/2002,All Provinces and territories,Unknown community admissions,2
2001/2002,Newfoundland and Labrador,Total custodial admissions,1750
2001/2002,Newfoundland and Labrador,Sentenced,1235
2001/2002,Newfoundland and Labrador,Remand,422
2001/2002,Newfoundland and Labrador,Other custodial statuses,93
2001/2002,Newfoundland and Labrador,Total community admissions,2110
2001/2002,Newfoundland and Labrador,Probation and conditional sentences,2110
2001/2002,Newfoundland and Labrador,Probation,1789
2001/2002,Newfoundland and Labrador,Conditional sentence,321
2001/2002,Newfoundland and Labrador,Other community programs,0
2001/2002,Newfoundland and Labrador,Unknown community admissions,0
2001/2002,Prince Edward Island,Total custodial admissions,828
2001/2002,Prince Edward Island,Sentenced,650
2001/2002,Prince Edward Island,Remand,178
2001/2002,Prince Edward Island,Other custodial statuses,
2001/2002,Prince Edward Island,Total community admissions,849
2001/2002,Prince Edward Island,Probation and conditional sentences,603
2001/2002,Prince Edward Island,Probation,563
2001/2002,Prince Edward Island,Conditional sentence,40
2001/2002,Prince Edward Island,Other community programs,246
2001/2002,Prince Edward Island,Unknown community admissions,0
2001/2002,Nova Scotia,Total custodial admissions,3855
2001/2002,Nova Scotia,Sentenced,1507
2001/2002,Nova Scotia,Remand,1881
2001/2002,Nova Scotia,Other custodial statuses,467
2001/2002,Nova Scotia,Total community admissions,5835
2001/2002,Nova Scotia,Probation and conditional sentences,4161
2001/2002,Nova Scotia,Probation,3547
2001/2002,Nova Scotia,Conditional sentence,614
2001/2002,Nova Scotia,Other community programs,1674
2001/2002,Nova Scotia,Unknown community admissions,0
2001/2002,New Brunswick,Total custodial admissions,3466
2001/2002,New Brunswick,Sentenced,1555
2001/2002,New Brunswick,Remand,1337
2001/2002,New Brunswick,Other custodial statuses,574
2001/2002,New Brunswick,Total community admissions,4248
2001/2002,New Brunswick,Probation and conditional sentences,2497
2001/2002,New Brunswick,Probation,1830
2001/2002,New Brunswick,Conditional sentence,667
2001/2002,New Brunswick,Other community programs,1751
2001/2002,New Brunswick,Unknown community admissions,0
2001/2002,Quebec,Total custodial admissions,44697
2001/2002,Quebec,Sentenced,14372
2001/2002,Quebec,Remand,27341
2001/2002,Quebec,Other custodial statuses,2984
2001/2002,Quebec,Total community admissions,18588
2001/2002,Quebec,Probation and conditional sentences,12947
2001/2002,Quebec,Probation,8277
2001/2002,Quebec,Conditional sentence,4670
2001/2002,Quebec,Other community programs,5641
2001/2002,Quebec,Unknown community admissions,0
2001/2002,Ontario,Total custodial admissions,91305
2001/2002,Ontario,Sentenced,31980
2001/2002,Ontario,Remand,56370
2001/2002,Ontario,Other custodial statuses,2955
2001/2002,Ontario,Total community admissions,52189
2001/2002,Ontario,Probation and conditional sentences,42652
2001/2002,Ontario,Probation,38236
2001/2002,Ontario,Conditional sentence,4416
2001/2002,Ontario,Other community programs,9537
2001/2002,Ontario,Unknown community admissions,0
2001/2002,Manitoba,Total custodial admissions,16204
2001/2002,Manitoba,Sentenced,3025
2001/2002,Manitoba,Remand,7625
2001/2002,Manitoba,Other custodial statuses,5554
2001/2002,Manitoba,Total community admissions,9217
2001/2002,Manitoba,Probation and conditional sentences,5985
2001/2002,Manitoba,Probation,5219
2001/2002,Manitoba,Conditional sentence,766
2001/2002,Manitoba,Other community programs,3232
2001/2002,Manitoba,Unknown community admissions,0
2001/2002,Saskatchewan,Total custodial admissions,8498
2001/2002,Saskatchewan,Sentenced,3345
2001/2002,Saskatchewan,Remand,4982
2001/2002,Saskatchewan,Other custodial statuses,171
2001/2002,Saskatchewan,Total community admissions,7190
2001/2002,Saskatchewan,Probation and conditional sentences,4809
2001/2002,Saskatchewan,Probation,3444
2001/2002,Saskatchewan,Conditional sentence,1365
2001/2002,Saskatchewan,Other community programs,2381
2001/2002,Saskatchewan,Unknown community admissions,0
2001/2002,Alberta,Total custodial admissions,
2001/2002,Alberta,Sentenced,
2001/2002,Alberta,Remand,
2001/2002,Alberta,Other custodial statuses,
2001/2002,Alberta,Total community admissions,22261
2001/2002,Alberta,Probation and conditional sentences,11169
2001/2002,Alberta,Probation,9438
2001/2002,Alberta,Conditional sentence,1731
2001/2002,Alberta,Other community programs,11092
2001/2002,Alberta,Unknown community admissions,0
2001/2002,British Columbia,Total custodial admissions,33312
2001/2002,British Columbia,Sentenced,9263
2001/2002,British Columbia,Remand,10687
2001/2002,British Columbia,Other custodial statuses,13362
2001/2002,British Columbia,Total community admissions,28708
2001/2002,British Columbia,Probation and conditional sentences,14779
2001/2002,British Columbia,Probation,11067
2001/2002,British Columbia,Conditional sentence,3712
2001/2002,British Columbia,Other community programs,13929
2001/2002,British Columbia,Unknown community admissions,0
2001/2002,Yukon,Total custodial admissions,627
2001/2002,Yukon,Sentenced,280
2001/2002,Yukon,Remand,323
2001/2002,Yukon,Other custodial statuses,24
2001/2002,Yukon,Total community admissions,762
2001/2002,Yukon,Probation and conditional sentences,442
2001/2002,Yukon,Probation,338
2001/2002,Yukon,Conditional sentence,104
2001/2002,Yukon,Other community programs,320
2001/2002,Yukon,Unknown community admissions,0
2001/2002,Northwest Territories,Total custodial admissions,812
2001/2002,Northwest Territories,Sentenced,562
2001/2002,Northwest Territories,Remand,237
2001/2002,Northwest Territories,Other custodial statuses,13
2001/2002,Northwest Territories,Total community admissions,
2001/2002,Northwest Territories,Probation and conditional sentences,
2001/2002,Northwest Territories,Probation,
2001/2002,Northwest Territories,Conditional sentence,
