REF_DATE,GEO,Custodial and community admissions,VALUE
2004/2005,New Brunswick,Other community programs,811
2004/2005,New Brunswick,Unknown community admissions,0
2004/2005,Quebec,Total custodial admissions,38918
2004/2005,Quebec,Sentenced,9850
2004/2005,Quebec,Remand,25992
2004/2005,Quebec,Other custodial statuses,3076
2004/2005,Quebec,Total community admissions,19661
2004/2005,Quebec,Probation and conditional sentences,13606
2004/2005,Quebec,Probation,9263
2004/2005,Quebec,Conditional sentence,4343
2004/2005,Quebec,Other community programs,6055
2004/2005,Quebec,Unknown community admissions,0
2004/2005,Ontario,Total custodial admissions,92481
2004/2005,Ontario,Sentenced,30736
2004/2005,Ontario,Remand,58006
2004/2005,Ontario,Other custodial statuses,3739
2004/2005,Ontario,Total community admissions,42408
2004/2005,Ontario,Probation and conditional sentences,42137
2004/2005,Ontario,Probation,36773
2004/2005,Ontario,Conditional sentence,5364
2004/2005,Ontario,Other community programs,271
2004/2005,Ontario,Unknown community admissions,0
2004/2005,Manitoba,Total custodial admissions,18349
2004/2005,Manitoba,Sentenced,3508
2004/2005,Manitoba,Remand,8390
2004/2005,Manitoba,Other custodial statuses,6451
2004/2005,Manitoba,Total community admissions,9889
2004/2005,Manitoba,Probation and conditional sentences,6326
2004/2005,Manitoba,Probation,5344
2004/2005,Manitoba,Conditional sentence,982
2004/2005,Manitoba,Other community programs,3563
2004/2005,Manitoba,Unknown community admissions,0
2004/2005,Saskatchewan,Total custodial admissions,9055
2004/2005,Saskatchewan,Sentenced,3474
2004/2005,Saskatchewan,Remand,5388
2004/2005,Saskatchewan,Other custodial statuses,193
2004/2005,Saskatchewan,Total community admissions,7653
2004/2005,Saskatchewan,Probation and conditional sentences,4959
2004/2005,Saskatchewan,Probation,3496
2004/2005,Saskatchewan,Conditional sentence,1463
2004/2005,Saskatchewan,Other community programs,2694
2004/2005,Saskatchewan,Unknown community admissions,0
2004/2005,Alberta,Total custodial admissions,
2004/2005,Alberta,Sentenced,
2004/2005,Alberta,Remand,
2004/2005,Alberta,Other custodial statuses,
2004/2005,Alberta,Total community admissions,14344
2004/2005,Alberta,Probation and conditional sentences,9480
2004/2005,Alberta,Probation,8057
2004/2005,Alberta,Conditional sentence,1423
2004/2005,Alberta,Other community programs,4864
2004/2005,Alberta,Unknown community admissions,0
2004/2005,British Columbia,Total custodial admissions,33309
2004/2005,British Columbia,Sentenced,9074
2004/2005,British Columbia,Remand,12542
2004/2005,British Columbia,Other custodial statuses,11693
2004/2005,British Columbia,Total community admissions,29364
2004/2005,British Columbia,Probation and conditional sentences,13000
2004/2005,British Columbia,Probation,9662
2004/2005,British Columbia,Conditional sentence,3338
2004/2005,British Columbia,Other community programs,16364
2004/2005,British Columbia,Unknown community admissions,0
2004/2005,Yukon,Total custodial admissions,570
2004/2005,Yukon,Sentenced,188
2004/2005,Yukon,Remand,373
2004/2005,Yukon,Other custodial statuses,9
2004/2005,Yukon,Total community admissions,741
2004/2005,Yukon,Probation and conditional sentences,404
2004/2005,Yukon,Probation,301
2004/2005,Yukon,Conditional sentence,103
2004/2005,Yukon,Other community programs,337
2004/2005,Yukon,Unknown community admissions,0
2004/2005,Northwest Territories,Total custodial admissions,724
2004/2005,Northwest Territories,Sentenced,483
2004/2005,Northwest Territories,Remand,238
2004/2005,Northwest Territories,Other custodial statuses,3
2004/2005,Northwest Territories,Total community admissions,
2004/2005,Northwest Territories,Probation and conditional sentences,
2004/2005,Northwest Territories,Probation,
2004/2005,Northwest Territories,Conditional sentence,
2004/2005,Northwest Territories,Other community programs,
2004/2005,Northwest Territories,Unknown community admissions,
2004/2005,Nunavut,Total custodial admissions,557
2004/2005,Nunavut,Sentenced,290
2004/2005,Nunavut,Remand,267
2004/2005,Nunavut,Total community admissions,492
2004/2005,Nunavut,Probation and conditional sentences,273
2004/2005,Nunavut,Probation,201
2004/2005,Nunavut,Conditional sentence,72
2004/2005,Nunavut,Other community programs,215
2004/2005,Nunavut,Unknown community admissions,4
2005/2006,All Provinces and territories,Total custodial admissions,238448
2005/2006,All Provinces and territories,Sentenced,79773
2005/2006,All Provinces and territories,Remand,143057
2005/2006,All Provinces and territories,Other custodial statuses,15618
2005/2006,All Provinces and territories,Total community admissions,139780
2005/2006,All Provinces and territories,Probation and conditional sentences,100804
2005/2006,All Provinces and territories,Probation,82232
2005/2006,All Provinces and territories,Conditional sentence,18572
2005/2006,All Provinces and territories,Other community programs,38976
2005/2006,All Provinces and territories,Unknown community admissions,0
2005/2006,Newfoundland and Labrador,Total custodial admissions,1626
2005/2006,Newfoundland and Labrador,Sentenced,1047
2005/2006,Newfoundland and Labrador,Remand,478
2005/2006,Newfoundland and Labrador,Other custodial statuses,101
2005/2006,Newfoundland and Labrador,Total community admissions,1997
2005/2006,Newfoundland and Labrador,Probation and conditional sentences,1997
2005/2006,Newfoundland and Labrador,Probation,1596
2005/2006,Newfoundland and Labrador,Conditional sentence,401
2005/2006,Newfoundland and Labrador,Other community programs,0
2005/2006,Newfoundland and Labrador,Unknown community admissions,0
2005/2006,Prince Edward Island,Total custodial admissions,
2005/2006,Prince Edward Island,Sentenced,
2005/2006,Prince Edward Island,Remand,
2005/2006,Prince Edward Island,Other custodial statuses,
2005/2006,Prince Edward Island,Total community admissions,
2005/2006,Prince Edward Island,Probation and conditional sentences,
2005/2006,Prince Edward Island,Probation,
2005/2006,Prince Edward Island,Conditional sentence,
2005/2006,Prince Edward Island,Other community programs,
2005/2006,Prince Edward Island,Unknown community admissions,
2005/2006,Nova Scotia,Total custodial admissions,4207
2005/2006,Nova Scotia,Sentenced,1820
2005/2006,Nova Scotia,Remand,2111
2005/2006,Nova Scotia,Other custodial statuses,276
2005/2006,Nova Scotia,Total community admissions,5523
2005/2006,Nova Scotia,Probation and conditional sentences,3977
2005/2006,Nova Scotia,Probation,3266
2005/2006,Nova Scotia,Conditional sentence,711
2005/2006,Nova Scotia,Other community programs,1546
2005/2006,Nova Scotia,Unknown community admissions,0
2005/2006,New Brunswick,Total custodial admissions,4781
2005/2006,New Brunswick,Sentenced,2520
2005/2006,New Brunswick,Remand,1573
2005/2006,New Brunswick,Other custodial statuses,688
2005/2006,New Brunswick,Total community admissions,3036
2005/2006,New Brunswick,Probation and conditional sentences,2292
2005/2006,New Brunswick,Probation,1627
2005/2006,New Brunswick,Conditional sentence,665
2005/2006,New Brunswick,Other community programs,744
2005/2006,New Brunswick,Unknown community admissions,0
2005/2006,Quebec,Total custodial admissions,38281
2005/2006,Quebec,Sentenced,8001
2005/2006,Quebec,Remand,26921
2005/2006,Quebec,Other custodial statuses,3359
2005/2006,Quebec,Total community admissions,20307
2005/2006,Quebec,Probation and conditional sentences,13745
2005/2006,Quebec,Probation,9448
2005/2006,Quebec,Conditional sentence,4297
2005/2006,Quebec,Other community programs,6562
2005/2006,Quebec,Unknown community admissions,0
2005/2006,Ontario,Total custodial admissions,97162
2005/2006,Ontario,Sentenced,31591
2005/2006,Ontario,Remand,61965
2005/2006,Ontario,Other custodial statuses,3606
2005/2006,Ontario,Total community admissions,43372
2005/2006,Ontario,Probation and conditional sentences,43078
2005/2006,Ontario,Probation,37810
2005/2006,Ontario,Conditional sentence,5268
2005/2006,Ontario,Other community programs,294
2005/2006,Ontario,Unknown community admissions,0
2005/2006,Manitoba,Total custodial admissions,20931
2005/2006,Manitoba,Sentenced,3748
2005/2006,Manitoba,Remand,9816
2005/2006,Manitoba,Other custodial statuses,7367
2005/2006,Manitoba,Total community admissions,10932
2005/2006,Manitoba,Probation and conditional sentences,7380
2005/2006,Manitoba,Probation,6228
2005/2006,Manitoba,Conditional sentence,1152
2005/2006,Manitoba,Other community programs,3552
2005/2006,Manitoba,Unknown community admissions,0
2005/2006,Saskatchewan,Total custodial admissions,9008
2005/2006,Saskatchewan,Sentenced,3422
2005/2006,Saskatchewan,Remand,5384
2005/2006,Saskatchewan,Other custodial statuses,202
2005/2006,Saskatchewan,Total community admissions,8147
2005/2006,Saskatchewan,Probation and conditional sentences,5047
2005/2006,Saskatchewan,Probation,3580
2005/2006,Saskatchewan,Conditional sentence,1467
2005/2006,Saskatchewan,Other community programs,3100
2005/2006,Saskatchewan,Unknown community admissions,0
2005/2006,Alberta,Total custodial admissions,37610
2005/2006,Alberta,Sentenced,17329
2005/2006,Alberta,Remand,20281
2005/2006,Alberta,Other custodial statuses,0
2005/2006,Alberta,Total community admissions,16550
2005/2006,Alberta,Probation and conditional sentences,10176
2005/2006,Alberta,Probation,8835
2005/2006,Alberta,Conditional sentence,1341
2005/2006,Alberta,Other community programs,6374
2005/2006,Alberta,Unknown community admissions,0
2005/2006,British Columbia,Total custodial admissions,22804
2005/2006,British Columbia,Sentenced,9224
2005/2006,British Columbia,Remand,13580
2005/2006,British Columbia,Other custodial statuses,
2005/2006,British Columbia,Total community admissions,28477
2005/2006,British Columbia,Probation and conditional sentences,12318
2005/2006,British Columbia,Probation,9244
2005/2006,British Columbia,Conditional sentence,3074
2005/2006,British Columbia,Other community programs,16159
2005/2006,British Columbia,Unknown community admissions,0
2005/2006,Yukon,Total custodial admissions,600
2005/2006,Yukon,Sentenced,202
2005/2006,Yukon,Remand,380
2005/2006,Yukon,Other custodial statuses,18
2005/2006,Yukon,Total community admissions,774
2005/2006,Yukon,Probation and conditional sentences,407
2005/2006,Yukon,Probation,310
2005/2006,Yukon,Conditional sentence,97
2005/2006,Yukon,Other community programs,367
2005/2006,Yukon,Unknown community admissions,0
2005/2006,Northwest Territories,Total custodial admissions,697
2005/2006,Northwest Territories,Sentenced,451
2005/2006,Northwest Territories,Remand,245
2005/2006,Northwest Territories,Other custodial statuses,1
2005/2006,Northwest Territories,Total community admissions,
2005/2006,Northwest Territories,Probation and conditional sentences,
2005/2006,Northwest Territories,Probation,
2005/2006,Northwest Territories,Conditional sentence,
2005/2006,Northwest Territories,Other community programs,
2005/2006,Northwest Territories,Unknown community admissions,
2005/2006,Nunavut,Total custodial admissions,741
2005/2006,Nunavut,Sentenced,418
2005/2006,Nunavut,Remand,323
2005/2006,Nunavut,Total community admissions,665
2005/2006,Nunavut,Probation and conditional sentences,387
2005/2006,Nunavut,Probation,288
2005/2006,Nunavut,Conditional sentence,99
2005/2006,Nunavut,Other community programs,278
2005/2006,Nunavut,Unknown community admissions,0
2006/2007,All Provinces and territories,Total custodial admissions,246863
2006/2007,All Provinces and territories,Sentenced,80744
2006/2007,All Provinces and territories,Remand,150399
2006/2007,All Provinces and territories,Other custodial statuses,15720
2006/2007,All Provinces and territories,Total community admissions,138132
2006/2007,All Provinces and territories,Probation and conditional sentences,99840
2006/2007,All Provinces and territories,Probation,82296
2006/2007,All Provinces and territories,Conditional sentence,17544
2006/2007,All Provinces and territories,Other community programs,38287
2006/2007,All Provinces and territories,Unknown community admissions,5
2006/2007,Newfoundland and Labrador,Total custodial admissions,1647
2006/2007,Newfoundland and Labrador,Sentenced,1025
2006/2007,Newfoundland and Labrador,Remand,504
2006/2007,Newfoundland and Labrador,Other custodial statuses,118
2006/2007,Newfoundland and Labrador,Total community admissions,1677
2006/2007,Newfoundland and Labrador,Probation and conditional sentences,1677
2006/2007,Newfoundland and Labrador,Probation,1354
2006/2007,Newfoundland and Labrador,Conditional sentence,323
2006/2007,Newfoundland and Labrador,Other community programs,0
2006/2007,Newfoundland and Labrador,Unknown community admissions,0
2006/2007,Prince Edward Island,Total custodial admissions,
2006/2007,Prince Edward Island,Sentenced,
2006/2007,Prince Edward Island,Remand,
2006/2007,Prince Edward Island,Other custodial statuses,
2006/2007,Prince Edward Island,Total community admissions,
2006/2007,Prince Edward Island,Probation and conditional sentences,
2006/2007,Prince Edward Island,Probation,
2006/2007,Prince Edward Island,Conditional sentence,
2006/2007,Prince Edward Island,Other community programs,
2006/2007,Prince Edward Island,Unknown community admissions,
2006/2007,Nova Scotia,Total custodial admissions,4957
2006/2007,Nova Scotia,Sentenced,2113
2006/2007,Nova Scotia,Remand,2558
2006/2007,Nova Scotia,Other custodial statuses,286
2006/2007,Nova Scotia,Total community admissions,5687
2006/2007,Nova Scotia,Probation and conditional sentences,3978
2006/2007,Nova Scotia,Probation,3316
2006/2007,Nova Scotia,Conditional sentence,662
2006/2007,Nova Scotia,Other community programs,1709
2006/2007,Nova Scotia,Unknown community admissions,0
2006/2007,New Brunswick,Total custodial admissions,5063
2006/2007,New Brunswick,Sentenced,2550
2006/2007,New Brunswick,Remand,1791
2006/2007,New Brunswick,Other custodial statuses,722
2006/2007,New Brunswick,Total community admissions,2972
2006/2007,New Brunswick,Probation and conditional sentences,2387
2006/2007,New Brunswick,Probation,1775
2006/2007,New Brunswick,Conditional sentence,612
2006/2007,New Brunswick,Other community programs,585
2006/2007,New Brunswick,Unknown community admissions,0
2006/2007,Quebec,Total custodial admissions,39527
2006/2007,Quebec,Sentenced,7548
2006/2007,Quebec,Remand,28240
2006/2007,Quebec,Other custodial statuses,3739
2006/2007,Quebec,Total community admissions,19700
2006/2007,Quebec,Probation and conditional sentences,13260
2006/2007,Quebec,Probation,9387
2006/2007,Quebec,Conditional sentence,3873
2006/2007,Quebec,Other community programs,6440
2006/2007,Quebec,Unknown community admissions,0
2006/2007,Ontario,Total custodial admissions,101798
2006/2007,Ontario,Sentenced,32217
2006/2007,Ontario,Remand,65564
2006/2007,Ontario,Other custodial statuses,4017
2006/2007,Ontario,Total community admissions,42839
2006/2007,Ontario,Probation and conditional sentences,42556
2006/2007,Ontario,Probation,37511
2006/2007,Ontario,Conditional sentence,5045
2006/2007,Ontario,Other community programs,283
2006/2007,Ontario,Unknown community admissions,0
2006/2007,Manitoba,Total custodial admissions,19704
2006/2007,Manitoba,Sentenced,3587
2006/2007,Manitoba,Remand,9479
2006/2007,Manitoba,Other custodial statuses,6638
2006/2007,Manitoba,Total community admissions,10411
2006/2007,Manitoba,Probation and conditional sentences,7244
2006/2007,Manitoba,Probation,6159
2006/2007,Manitoba,Conditional sentence,1085
2006/2007,Manitoba,Other community programs,3167
2006/2007,Manitoba,Unknown community admissions,0
2006/2007,Saskatchewan,Total custodial admissions,9416
2006/2007,Saskatchewan,Sentenced,3502
2006/2007,Saskatchewan,Remand,5728
2006/2007,Saskatchewan,Other custodial statuses,186
2006/2007,Saskatchewan,Total community admissions,8484
2006/2007,Saskatchewan,Probation and conditional sentences,5195
2006/2007,Saskatchewan,Probation,3694
2006/2007,Saskatchewan,Conditional sentence,1501
2006/2007,Saskatchewan,Other community programs,3289
2006/2007,Saskatchewan,Unknown community admissions,0
2006/2007,Alberta,Total custodial admissions,39106
2006/2007,Alberta,Sentenced,17426
2006/2007,Alberta,Remand,21680
2006/2007,Alberta,Other custodial statuses,0
2006/2007,Alberta,Total community admissions,15767
2006/2007,Alberta,Probation and conditional sentences,10235
2006/2007,Alberta,Probation,9022
2006/2007,Alberta,Conditional sentence,1213
2006/2007,Alberta,Other community programs,5532
2006/2007,Alberta,Unknown community admissions,0
2006/2007,British Columbia,Total custodial admissions,23596
2006/2007,British Columbia,Sentenced,9747
2006/2007,British Columbia,Remand,13849
2006/2007,British Columbia,Other custodial statuses,
2006/2007,British Columbia,Total community admissions,29095
2006/2007,British Columbia,Probation and conditional sentences,12608
2006/2007,British Columbia,Probation,9551
2006/2007,British Columbia,Conditional sentence,3057
2006/2007,British Columbia,Other community programs,16487
2006/2007,British Columbia,Unknown community admissions,0
2006/2007,Yukon,Total custodial admissions,578
2006/2007,Yukon,Sentenced,189
2006/2007,Yukon,Remand,376
2006/2007,Yukon,Other custodial statuses,13
2006/2007,Yukon,Total community admissions,825
2006/2007,Yukon,Probation and conditional sentences,370
2006/2007,Yukon,Probation,278
2006/2007,Yukon,Conditional sentence,92
2006/2007,Yukon,Other community programs,455
2006/2007,Yukon,Unknown community admissions,0
2006/2007,Northwest Territories,Total custodial admissions,720
2006/2007,Northwest Territories,Sentenced,440
2006/2007,Northwest Territories,Remand,279
2006/2007,Northwest Territories,Other custodial statuses,1
2006/2007,Northwest Territories,Total community admissions,
2006/2007,Northwest Territories,Probation and conditional sentences,
2006/2007,Northwest Territories,Probation,
2006/2007,Northwest Territories,Conditional sentence,
2006/2007,Northwest Territories,Other community programs,
2006/2007,Northwest Territories,Unknown community admissions,
2006/2007,Nunavut,Total custodial admissions,751
2006/2007,Nunavut,Sentenced,400
2006/2007,Nunavut,Remand,351
2006/2007,Nunavut,Total community admissions,675
2006/2007,Nunavut,Probation and conditional sentences,330
2006/2007,Nunavut,Probation,249
2006/2007,Nunavut,Conditional sentence,81
2006/2007,Nunavut,Other community programs,340
2006/2007,Nunavut,Unknown community admissions,5
2007/2008,All Provinces and territories,Total custodial admissions,254751
2007/2008,All Provinces and territories,Sentenced,81853
2007/2008,All Provinces and territories,Remand,155808
2007/2008,All Provinces and territories,Other custodial statuses,17090
2007/2008,All Provinces and territories,Total community admissions,144635
2007/2008,All Provinces and territories,Probation and conditional sentences,101270
2007/2008,All Provinces and territories,Probation,83454
2007/2008,All Provinces and territories,Conditional sentence,17816
2007/2008,All Provinces and territories,Other community programs,43362
2007/2008,All Provinces and territories,Unknown community admissions,3
2007/2008,Newfoundland and Labrador,Total custodial admissions,1677
2007/2008,Newfoundland and Labrador,Sentenced,1009
2007/2008,Newfoundland and Labrador,Remand,549
2007/2008,Newfoundland and Labrador,Other custodial statuses,119
2007/2008,Newfoundland and Labrador,Total community admissions,1871
2007/2008,Newfoundland and Labrador,Probation and conditional sentences,1871
2007/2008,Newfoundland and Labrador,Probation,1496
2007/2008,Newfoundland and Labrador,Conditional sentence,375
2007/2008,Newfoundland and Labrador,Other community programs,0
2007/2008,Newfoundland and Labrador,Unknown community admissions,0
2007/2008,Prince Edward Island,Total custodial admissions,970
2007/2008,Prince Edward Island,Sentenced,771
2007/2008,Prince Edward Island,Remand,199
2007/2008,Prince Edward Island,Other custodial statuses,
2007/2008,Prince Edward Island,Total community admissions,907
2007/2008,Prince Edward Island,Probation and conditional sentences,699
2007/2008,Prince Edward Island,Probation,654
2007/2008,Prince Edward Island,Conditional sentence,45
2007/2008,Prince Edward Island,Other community programs,208
2007/2008,Prince Edward Island,Unknown community admissions,0
2007/2008,Nova Scotia,Total custodial admissions,5613
2007/2008,Nova Scotia,Sentenced,2171
2007/2008,Nova Scotia,Remand,3160
2007/2008,Nova Scotia,Other custodial statuses,282
2007/2008,Nova Scotia,Total community admissions,5729
2007/2008,Nova Scotia,Probation and conditional sentences,4247
2007/2008,Nova Scotia,Probation,3468
2007/2008,Nova Scotia,Conditional sentence,779
2007/2008,Nova Scotia,Other community programs,1482
2007/2008,Nova Scotia,Unknown community admissions,0
2007/2008,New Brunswick,Total custodial admissions,5324
2007/2008,New Brunswick,Sentenced,2535
2007/2008,New Brunswick,Remand,1985
2007/2008,New Brunswick,Other custodial statuses,804
2007/2008,New Brunswick,Total community admissions,2855
2007/2008,New Brunswick,Probation and conditional sentences,2279
2007/2008,New Brunswick,Probation,1690
2007/2008,New Brunswick,Conditional sentence,589
2007/2008,New Brunswick,Other community programs,576
2007/2008,New Brunswick,Unknown community admissions,0
2007/2008,Quebec,Total custodial admissions,40808
2007/2008,Quebec,Sentenced,7288
2007/2008,Quebec,Remand,29610
2007/2008,Quebec,Other custodial statuses,3910
2007/2008,Quebec,Total community admissions,19429
2007/2008,Quebec,Probation and conditional sentences,13071
2007/2008,Quebec,Probation,9170
2007/2008,Quebec,Conditional sentence,3901
2007/2008,Quebec,Other community programs,6358
2007/2008,Quebec,Unknown community admissions,0
2007/2008,Ontario,Total custodial admissions,104584
2007/2008,Ontario,Sentenced,32783
2007/2008,Ontario,Remand,66558
2007/2008,Ontario,Other custodial statuses,5243
2007/2008,Ontario,Total community admissions,43093
2007/2008,Ontario,Probation and conditional sentences,42695
2007/2008,Ontario,Probation,37707
2007/2008,Ontario,Conditional sentence,4988
2007/2008,Ontario,Other community programs,398
2007/2008,Ontario,Unknown community admissions,0
2007/2008,Manitoba,Total custodial admissions,19766
2007/2008,Manitoba,Sentenced,3610
2007/2008,Manitoba,Remand,9643
2007/2008,Manitoba,Other custodial statuses,6513
2007/2008,Manitoba,Total community admissions,10380
2007/2008,Manitoba,Probation and conditional sentences,7215
2007/2008,Manitoba,Probation,6145
2007/2008,Manitoba,Conditional sentence,1070
2007/2008,Manitoba,Other community programs,3165
2007/2008,Manitoba,Unknown community admissions,0
2007/2008,Saskatchewan,Total custodial admissions,9644
2007/2008,Saskatchewan,Sentenced,3344
2007/2008,Saskatchewan,Remand,6091
2007/2008,Saskatchewan,Other custodial statuses,209
2007/2008,Saskatchewan,Total community admissions,7575
2007/2008,Saskatchewan,Probation and conditional sentences,5423
2007/2008,Saskatchewan,Probation,3900
2007/2008,Saskatchewan,Conditional sentence,1523
2007/2008,Saskatchewan,Other community programs,2152
2007/2008,Saskatchewan,Unknown community admissions,0
2007/2008,Alberta,Total custodial admissions,39656
2007/2008,Alberta,Sentenced,17010
2007/2008,Alberta,Remand,22646
2007/2008,Alberta,Other custodial statuses,0
2007/2008,Alberta,Total community admissions,21860
2007/2008,Alberta,Probation and conditional sentences,9965
2007/2008,Alberta,Probation,8720
2007/2008,Alberta,Conditional sentence,1245
2007/2008,Alberta,Other community programs,11895
2007/2008,Alberta,Unknown community admissions,0
2007/2008,British Columbia,Total custodial admissions,24440
2007/2008,British Columbia,Sentenced,10267
2007/2008,British Columbia,Remand,14173
2007/2008,British Columbia,Other custodial statuses,
2007/2008,British Columbia,Total community admissions,29311
2007/2008,British Columbia,Probation and conditional sentences,13041
2007/2008,British Columbia,Probation,9928
2007/2008,British Columbia,Conditional sentence,3113
2007/2008,British Columbia,Other community programs,16270
2007/2008,British Columbia,Unknown community admissions,0
2007/2008,Yukon,Total custodial admissions,654
2007/2008,Yukon,Sentenced,231
2007/2008,Yukon,Remand,413
2007/2008,Yukon,Other custodial statuses,10
2007/2008,Yukon,Total community admissions,820
2007/2008,Yukon,Probation and conditional sentences,328
2007/2008,Yukon,Probation,246
2007/2008,Yukon,Conditional sentence,82
2007/2008,Yukon,Other community programs,492
2007/2008,Yukon,Unknown community admissions,0
2007/2008,Northwest Territories,Total custodial admissions,872
2007/2008,Northwest Territories,Sentenced,481
2007/2008,Northwest Territories,Remand,391
2007/2008,Northwest Territories,Other custodial statuses,
2007/2008,Northwest Territories,Total community admissions,
2007/2008,Northwest Territories,Probation and conditional sentences,
2007/2008,Northwest Territories,Probation,
2007/2008,Northwest Territories,Conditional sentence,
2007/2008,Northwest Territories,Other community programs,
2007/2008,Northwest Territories,Unknown community admissions,
2007/2008,Nunavut,Total custodial admissions,743
2007/2008,Nunavut,Sentenced,353
2007/2008,Nunavut,Remand,390
2007/2008,Nunavut,Total community admissions,805
2007/2008,Nunavut,Probation and conditional sentences,436
2007/2008,Nunavut,Probation,330
2007/2008,Nunavut,Conditional sentence,106
2007/2008,Nunavut,Other community programs,366
2007/2008,Nunavut,Unknown community admissions,3
2008/2009,All Provinces and territories,Total custodial admissions,255775
2008/2009,All Provinces and territories,Sentenced,83078
2008/2009,All Provinces and territories,Remand,155160
2008/2009,All Provinces and territories,Other custodial statuses,17537
2008/2009,All Provinces and territories,Total community admissions,152346
2008/2009,All Provinces and territories,Probation and conditional sentences,104874
2008/2009,All Provinces and territories,Probation,86222
2008/2009,All Provinces and territories,Conditional sentence,18652
2008/2009,All Provinces and territories,Other community programs,47470
2008/2009,All Provinces and territories,Unknown community admissions,2
2008/2009,Newfoundland and Labrador,Total custodial admissions,1655
2008/2009,Newfoundland and Labrador,Sentenced,1015
2008/2009,Newfoundland and Labrador,Remand,539
2008/2009,Newfoundland and Labrador,Other custodial statuses,101
2008/2009,Newfoundland and Labrador,Total community admissions,1898
2008/2009,Newfoundland and Labrador,Probation and conditional sentences,1898
2008/2009,Newfoundland and Labrador,Probation,1527
2008/2009,Newfoundland and Labrador,Conditional sentence,371
2008/2009,Newfoundland and Labrador,Other community programs,0
2008/2009,Newfoundland and Labrador,Unknown community admissions,0
2008/2009,Prince Edward Island,Total custodial admissions,916
2008/2009,Prince Edward Island,Sentenced,648
2008/2009,Prince Edward Island,Remand,268
2008/2009,Prince Edward Island,Other custodial statuses,
2008/2009,Prince Edward Island,Total community admissions,833
2008/2009,Prince Edward Island,Probation and conditional sentences,654
2008/2009,Prince Edward Island,Probation,605
2008/2009,Prince Edward Island,Conditional sentence,49
2008/2009,Prince Edward Island,Other community programs,179
2008/2009,Prince Edward Island,Unknown community admissions,0
2008/2009,Nova Scotia,Total custodial admissions,5498
2008/2009,Nova Scotia,Sentenced,2056
2008/2009,Nova Scotia,Remand,3150
2008/2009,Nova Scotia,Other custodial statuses,292
2008/2009,Nova Scotia,Total community admissions,6195
2008/2009,Nova Scotia,Probation and conditional sentences,4232
2008/2009,Nova Scotia,Probation,3445
2008/2009,Nova Scotia,Conditional sentence,787
2008/2009,Nova Scotia,Other community programs,1963
2008/2009,Nova Scotia,Unknown community admissions,0
2008/2009,New Brunswick,Total custodial admissions,5255
2008/2009,New Brunswick,Sentenced,2547
2008/2009,New Brunswick,Remand,1925
2008/2009,New Brunswick,Other custodial statuses,783
2008/2009,New Brunswick,Total community admissions,2947
2008/2009,New Brunswick,Probation and conditional sentences,2403
2008/2009,New Brunswick,Probation,1765
2008/2009,New Brunswick,Conditional sentence,638
2008/2009,New Brunswick,Other community programs,544
2008/2009,New Brunswick,Unknown community admissions,0
2008/2009,Quebec,Total custodial admissions,40283
2008/2009,Quebec,Sentenced,7725
2008/2009,Quebec,Remand,29677
2008/2009,Quebec,Other custodial statuses,2881
2008/2009,Quebec,Total community admissions,20626
2008/2009,Quebec,Probation and conditional sentences,13752
2008/2009,Quebec,Probation,9659
2008/2009,Quebec,Conditional sentence,4093
2008/2009,Quebec,Other community programs,6874
2008/2009,Quebec,Unknown community admissions,0
2008/2009,Ontario,Total custodial admissions,103204
2008/2009,Ontario,Sentenced,32384
2008/2009,Ontario,Remand,65041
2008/2009,Ontario,Other custodial statuses,5779
2008/2009,Ontario,Total community admissions,44135
2008/2009,Ontario,Probation and conditional sentences,43745
2008/2009,Ontario,Probation,38344
2008/2009,Ontario,Conditional sentence,5401
2008/2009,Ontario,Other community programs,390
2008/2009,Ontario,Unknown community admissions,0
2008/2009,Manitoba,Total custodial admissions,20303
2008/2009,Manitoba,Sentenced,3804
2008/2009,Manitoba,Remand,9782
2008/2009,Manitoba,Other custodial statuses,6717
2008/2009,Manitoba,Total community admissions,11222
2008/2009,Manitoba,Probation and conditional sentences,7626
2008/2009,Manitoba,Probation,6471
2008/2009,Manitoba,Conditional sentence,1155
2008/2009,Manitoba,Other community programs,3596
2008/2009,Manitoba,Unknown community admissions,0
2008/2009,Saskatchewan,Total custodial admissions,9753
2008/2009,Saskatchewan,Sentenced,3626
2008/2009,Saskatchewan,Remand,5933
2008/2009,Saskatchewan,Other custodial statuses,194
2008/2009,Saskatchewan,Total community admissions,7544
2008/2009,Saskatchewan,Probation and conditional sentences,5602
2008/2009,Saskatchewan,Probation,4017
2008/2009,Saskatchewan,Conditional sentence,1585
2008/2009,Saskatchewan,Other community programs,1942
2008/2009,Saskatchewan,Unknown community admissions,0
2008/2009,Alberta,Total custodial admissions,42479
2008/2009,Alberta,Sentenced,18509
2008/2009,Alberta,Remand,23970
2008/2009,Alberta,Other custodial statuses,0
2008/2009,Alberta,Total community admissions,24572
2008/2009,Alberta,Probation and conditional sentences,10742
2008/2009,Alberta,Probation,9382
2008/2009,Alberta,Conditional sentence,1360
2008/2009,Alberta,Other community programs,13830
2008/2009,Alberta,Unknown community admissions,0
2008/2009,British Columbia,Total custodial admissions,23837
2008/2009,British Columbia,Sentenced,9544
2008/2009,British Columbia,Remand,13518
2008/2009,British Columbia,Other custodial statuses,775
2008/2009,British Columbia,Total community admissions,30588
2008/2009,British Columbia,Probation and conditional sentences,13380
