REF_DATE,GEO,Custodial admissions,Age group,VALUE
2001/2002,Quebec,"Total, custodial admissions",45 to 49 years,3421
2001/2002,Quebec,"Total, custodial admissions",50 years and over,3760
2001/2002,Quebec,"Total, custodial admissions",Age unknown,11
2001/2002,Quebec,Sentenced,"Total, custodial admissions by age group",14372
2001/2002,Quebec,Sentenced,18 to 19 years,399
2001/2002,Quebec,Sentenced,20 to 24 years,2249
2001/2002,Quebec,Sentenced,25 to 29 years,2087
2001/2002,Quebec,Sentenced,30 to 34 years,2392
2001/2002,Quebec,Sentenced,35 to 39 years,2432
2001/2002,Quebec,Sentenced,40 to 44 years,2044
2001/2002,Quebec,Sentenced,45 to 49 years,1299
2001/2002,Quebec,Sentenced,50 years and over,1469
2001/2002,Quebec,Sentenced,Age unknown,1
2001/2002,Quebec,Sentenced,Median age on admission,35
2001/2002,Quebec,Remand,"Total, custodial admissions by age group",27341
2001/2002,Quebec,Remand,18 to 19 years,2061
2001/2002,Quebec,Remand,20 to 24 years,5063
2001/2002,Quebec,Remand,25 to 29 years,3997
2001/2002,Quebec,Remand,30 to 34 years,4222
2001/2002,Quebec,Remand,35 to 39 years,4617
2001/2002,Quebec,Remand,40 to 44 years,3418
2001/2002,Quebec,Remand,45 to 49 years,1925
2001/2002,Quebec,Remand,50 years and over,2028
2001/2002,Quebec,Remand,Age unknown,10
2001/2002,Quebec,Remand,Median age on admission,33
2001/2002,Quebec,Other custodial statuses,"Total, custodial admissions by age group",2984
2001/2002,Quebec,Other custodial statuses,18 to 19 years,284
2001/2002,Quebec,Other custodial statuses,20 to 24 years,656
2001/2002,Quebec,Other custodial statuses,25 to 29 years,419
2001/2002,Quebec,Other custodial statuses,30 to 34 years,393
2001/2002,Quebec,Other custodial statuses,35 to 39 years,414
2001/2002,Quebec,Other custodial statuses,40 to 44 years,358
2001/2002,Quebec,Other custodial statuses,45 to 49 years,197
2001/2002,Quebec,Other custodial statuses,50 years and over,263
2001/2002,Quebec,Other custodial statuses,Age unknown,0
2001/2002,Quebec,Other custodial statuses,Median age on admission,32
2001/2002,Ontario,"Total, custodial admissions","Total, custodial admissions by age group",91305
2001/2002,Ontario,"Total, custodial admissions",18 to 19 years,8958
2001/2002,Ontario,"Total, custodial admissions",20 to 24 years,18038
2001/2002,Ontario,"Total, custodial admissions",25 to 29 years,12996
2001/2002,Ontario,"Total, custodial admissions",30 to 34 years,13763
2001/2002,Ontario,"Total, custodial admissions",35 to 39 years,14555
2001/2002,Ontario,"Total, custodial admissions",40 to 44 years,11113
2001/2002,Ontario,"Total, custodial admissions",45 to 49 years,6052
2001/2002,Ontario,"Total, custodial admissions",50 years and over,5628
2001/2002,Ontario,"Total, custodial admissions",Age unknown,202
2001/2002,Ontario,Sentenced,"Total, custodial admissions by age group",31980
2001/2002,Ontario,Sentenced,18 to 19 years,2692
2001/2002,Ontario,Sentenced,20 to 24 years,6295
2001/2002,Ontario,Sentenced,25 to 29 years,4558
2001/2002,Ontario,Sentenced,30 to 34 years,4878
2001/2002,Ontario,Sentenced,35 to 39 years,5303
2001/2002,Ontario,Sentenced,40 to 44 years,4080
2001/2002,Ontario,Sentenced,45 to 49 years,2176
2001/2002,Ontario,Sentenced,50 years and over,1980
2001/2002,Ontario,Sentenced,Age unknown,18
2001/2002,Ontario,Sentenced,Median age on admission,33
2001/2002,Ontario,Remand,"Total, custodial admissions by age group",56370
2001/2002,Ontario,Remand,18 to 19 years,6184
2001/2002,Ontario,Remand,20 to 24 years,11430
2001/2002,Ontario,Remand,25 to 29 years,7886
2001/2002,Ontario,Remand,30 to 34 years,8276
2001/2002,Ontario,Remand,35 to 39 years,8689
2001/2002,Ontario,Remand,40 to 44 years,6711
2001/2002,Ontario,Remand,45 to 49 years,3671
2001/2002,Ontario,Remand,50 years and over,3475
2001/2002,Ontario,Remand,Age unknown,48
2001/2002,Ontario,Remand,Median age on admission,32
2001/2002,Ontario,Other custodial statuses,"Total, custodial admissions by age group",2955
2001/2002,Ontario,Other custodial statuses,18 to 19 years,82
2001/2002,Ontario,Other custodial statuses,20 to 24 years,313
2001/2002,Ontario,Other custodial statuses,25 to 29 years,552
2001/2002,Ontario,Other custodial statuses,30 to 34 years,609
2001/2002,Ontario,Other custodial statuses,35 to 39 years,563
2001/2002,Ontario,Other custodial statuses,40 to 44 years,322
2001/2002,Ontario,Other custodial statuses,45 to 49 years,205
2001/2002,Ontario,Other custodial statuses,50 years and over,173
2001/2002,Ontario,Other custodial statuses,Age unknown,136
2001/2002,Ontario,Other custodial statuses,Median age on admission,33
2001/2002,Manitoba,"Total, custodial admissions","Total, custodial admissions by age group",16204
2001/2002,Manitoba,"Total, custodial admissions",18 to 19 years,1649
2001/2002,Manitoba,"Total, custodial admissions",20 to 24 years,3724
2001/2002,Manitoba,"Total, custodial admissions",25 to 29 years,2970
2001/2002,Manitoba,"Total, custodial admissions",30 to 34 years,2424
2001/2002,Manitoba,"Total, custodial admissions",35 to 39 years,2313
2001/2002,Manitoba,"Total, custodial admissions",40 to 44 years,1554
2001/2002,Manitoba,"Total, custodial admissions",45 to 49 years,791
2001/2002,Manitoba,"Total, custodial admissions",50 years and over,759
2001/2002,Manitoba,"Total, custodial admissions",Age unknown,20
2001/2002,Manitoba,Sentenced,"Total, custodial admissions by age group",3025
2001/2002,Manitoba,Sentenced,18 to 19 years,312
2001/2002,Manitoba,Sentenced,20 to 24 years,726
2001/2002,Manitoba,Sentenced,25 to 29 years,600
2001/2002,Manitoba,Sentenced,30 to 34 years,467
2001/2002,Manitoba,Sentenced,35 to 39 years,398
2001/2002,Manitoba,Sentenced,40 to 44 years,283
2001/2002,Manitoba,Sentenced,45 to 49 years,116
2001/2002,Manitoba,Sentenced,50 years and over,123
2001/2002,Manitoba,Sentenced,Age unknown,0
2001/2002,Manitoba,Sentenced,Median age on admission,28
2001/2002,Manitoba,Remand,"Total, custodial admissions by age group",7625
2001/2002,Manitoba,Remand,18 to 19 years,833
2001/2002,Manitoba,Remand,20 to 24 years,1785
2001/2002,Manitoba,Remand,25 to 29 years,1415
2001/2002,Manitoba,Remand,30 to 34 years,1158
2001/2002,Manitoba,Remand,35 to 39 years,1083
2001/2002,Manitoba,Remand,40 to 44 years,708
2001/2002,Manitoba,Remand,45 to 49 years,341
2001/2002,Manitoba,Remand,50 years and over,302
2001/2002,Manitoba,Remand,Age unknown,0
2001/2002,Manitoba,Remand,Median age on admission,29
2001/2002,Manitoba,Other custodial statuses,"Total, custodial admissions by age group",5554
2001/2002,Manitoba,Other custodial statuses,18 to 19 years,504
2001/2002,Manitoba,Other custodial statuses,20 to 24 years,1213
2001/2002,Manitoba,Other custodial statuses,25 to 29 years,955
2001/2002,Manitoba,Other custodial statuses,30 to 34 years,799
2001/2002,Manitoba,Other custodial statuses,35 to 39 years,832
2001/2002,Manitoba,Other custodial statuses,40 to 44 years,563
2001/2002,Manitoba,Other custodial statuses,45 to 49 years,334
2001/2002,Manitoba,Other custodial statuses,50 years and over,334
2001/2002,Manitoba,Other custodial statuses,Age unknown,20
2001/2002,Manitoba,Other custodial statuses,Median age on admission,30
2001/2002,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by age group",8498
2001/2002,Saskatchewan,"Total, custodial admissions",18 to 19 years,989
2001/2002,Saskatchewan,"Total, custodial admissions",20 to 24 years,2020
2001/2002,Saskatchewan,"Total, custodial admissions",25 to 29 years,1412
2001/2002,Saskatchewan,"Total, custodial admissions",30 to 34 years,1291
2001/2002,Saskatchewan,"Total, custodial admissions",35 to 39 years,1116
2001/2002,Saskatchewan,"Total, custodial admissions",40 to 44 years,733
2001/2002,Saskatchewan,"Total, custodial admissions",45 to 49 years,398
2001/2002,Saskatchewan,"Total, custodial admissions",50 years and over,381
2001/2002,Saskatchewan,"Total, custodial admissions",Age unknown,158
2001/2002,Saskatchewan,Sentenced,"Total, custodial admissions by age group",3345
2001/2002,Saskatchewan,Sentenced,18 to 19 years,299
2001/2002,Saskatchewan,Sentenced,20 to 24 years,727
2001/2002,Saskatchewan,Sentenced,25 to 29 years,553
2001/2002,Saskatchewan,Sentenced,30 to 34 years,470
2001/2002,Saskatchewan,Sentenced,35 to 39 years,474
2001/2002,Saskatchewan,Sentenced,40 to 44 years,298
2001/2002,Saskatchewan,Sentenced,45 to 49 years,191
2001/2002,Saskatchewan,Sentenced,50 years and over,179
2001/2002,Saskatchewan,Sentenced,Age unknown,154
2001/2002,Saskatchewan,Sentenced,Median age on admission,30
2001/2002,Saskatchewan,Remand,"Total, custodial admissions by age group",4982
2001/2002,Saskatchewan,Remand,18 to 19 years,676
2001/2002,Saskatchewan,Remand,20 to 24 years,1256
2001/2002,Saskatchewan,Remand,25 to 29 years,820
2001/2002,Saskatchewan,Remand,30 to 34 years,787
2001/2002,Saskatchewan,Remand,35 to 39 years,618
2001/2002,Saskatchewan,Remand,40 to 44 years,425
2001/2002,Saskatchewan,Remand,45 to 49 years,201
2001/2002,Saskatchewan,Remand,50 years and over,195
2001/2002,Saskatchewan,Remand,Age unknown,4
2001/2002,Saskatchewan,Remand,Median age on admission,28
2001/2002,Saskatchewan,Other custodial statuses,"Total, custodial admissions by age group",171
2001/2002,Saskatchewan,Other custodial statuses,18 to 19 years,14
2001/2002,Saskatchewan,Other custodial statuses,20 to 24 years,37
2001/2002,Saskatchewan,Other custodial statuses,25 to 29 years,39
2001/2002,Saskatchewan,Other custodial statuses,30 to 34 years,34
2001/2002,Saskatchewan,Other custodial statuses,35 to 39 years,24
2001/2002,Saskatchewan,Other custodial statuses,40 to 44 years,10
2001/2002,Saskatchewan,Other custodial statuses,45 to 49 years,6
2001/2002,Saskatchewan,Other custodial statuses,50 years and over,7
2001/2002,Saskatchewan,Other custodial statuses,Age unknown,0
2001/2002,Saskatchewan,Other custodial statuses,Median age on admission,30
2001/2002,Alberta,"Total, custodial admissions","Total, custodial admissions by age group",
2001/2002,Alberta,"Total, custodial admissions",Age unknown,
2001/2002,Alberta,Sentenced,"Total, custodial admissions by age group",
2001/2002,Alberta,Sentenced,Age unknown,
2001/2002,Alberta,Remand,"Total, custodial admissions by age group",
2001/2002,Alberta,Remand,Age unknown,
2001/2002,Alberta,Other custodial statuses,"Total, custodial admissions by age group",
2001/2002,Alberta,Other custodial statuses,Age unknown,
2001/2002,British Columbia,"Total, custodial admissions","Total, custodial admissions by age group",33312
2001/2002,British Columbia,"Total, custodial admissions",18 to 19 years,2110
2001/2002,British Columbia,"Total, custodial admissions",20 to 24 years,6635
2001/2002,British Columbia,"Total, custodial admissions",25 to 29 years,5819
2001/2002,British Columbia,"Total, custodial admissions",30 to 34 years,6241
2001/2002,British Columbia,"Total, custodial admissions",35 to 39 years,5442
2001/2002,British Columbia,"Total, custodial admissions",40 to 44 years,3779
2001/2002,British Columbia,"Total, custodial admissions",45 to 49 years,1765
2001/2002,British Columbia,"Total, custodial admissions",50 years and over,1497
2001/2002,British Columbia,"Total, custodial admissions",Age unknown,24
2001/2002,British Columbia,Sentenced,"Total, custodial admissions by age group",9263
2001/2002,British Columbia,Sentenced,18 to 19 years,571
2001/2002,British Columbia,Sentenced,20 to 24 years,1854
2001/2002,British Columbia,Sentenced,25 to 29 years,1648
2001/2002,British Columbia,Sentenced,30 to 34 years,1706
2001/2002,British Columbia,Sentenced,35 to 39 years,1470
2001/2002,British Columbia,Sentenced,40 to 44 years,995
2001/2002,British Columbia,Sentenced,45 to 49 years,524
2001/2002,British Columbia,Sentenced,50 years and over,489
2001/2002,British Columbia,Sentenced,Age unknown,6
2001/2002,British Columbia,Sentenced,Median age on admission,31
2001/2002,British Columbia,Remand,"Total, custodial admissions by age group",10687
2001/2002,British Columbia,Remand,18 to 19 years,733
2001/2002,British Columbia,Remand,20 to 24 years,2200
2001/2002,British Columbia,Remand,25 to 29 years,1869
2001/2002,British Columbia,Remand,30 to 34 years,2026
2001/2002,British Columbia,Remand,35 to 39 years,1752
2001/2002,British Columbia,Remand,40 to 44 years,1189
2001/2002,British Columbia,Remand,45 to 49 years,489
2001/2002,British Columbia,Remand,50 years and over,423
2001/2002,British Columbia,Remand,Age unknown,6
2001/2002,British Columbia,Remand,Median age on admission,31
2001/2002,British Columbia,Other custodial statuses,"Total, custodial admissions by age group",13362
2001/2002,British Columbia,Other custodial statuses,18 to 19 years,806
2001/2002,British Columbia,Other custodial statuses,20 to 24 years,2581
2001/2002,British Columbia,Other custodial statuses,25 to 29 years,2302
2001/2002,British Columbia,Other custodial statuses,30 to 34 years,2509
2001/2002,British Columbia,Other custodial statuses,35 to 39 years,2220
2001/2002,British Columbia,Other custodial statuses,40 to 44 years,1595
2001/2002,British Columbia,Other custodial statuses,45 to 49 years,752
2001/2002,British Columbia,Other custodial statuses,50 years and over,585
2001/2002,British Columbia,Other custodial statuses,Age unknown,12
2001/2002,British Columbia,Other custodial statuses,Median age on admission,32
2001/2002,Yukon,"Total, custodial admissions","Total, custodial admissions by age group",627
2001/2002,Yukon,"Total, custodial admissions",18 to 19 years,34
2001/2002,Yukon,"Total, custodial admissions",20 to 24 years,163
2001/2002,Yukon,"Total, custodial admissions",25 to 29 years,72
2001/2002,Yukon,"Total, custodial admissions",30 to 34 years,133
2001/2002,Yukon,"Total, custodial admissions",35 to 39 years,94
2001/2002,Yukon,"Total, custodial admissions",40 to 44 years,58
2001/2002,Yukon,"Total, custodial admissions",45 to 49 years,34
2001/2002,Yukon,"Total, custodial admissions",50 years and over,39
2001/2002,Yukon,"Total, custodial admissions",Age unknown,0
2001/2002,Yukon,Sentenced,"Total, custodial admissions by age group",280
2001/2002,Yukon,Sentenced,18 to 19 years,15
2001/2002,Yukon,Sentenced,20 to 24 years,72
2001/2002,Yukon,Sentenced,25 to 29 years,30
2001/2002,Yukon,Sentenced,30 to 34 years,62
2001/2002,Yukon,Sentenced,35 to 39 years,45
2001/2002,Yukon,Sentenced,40 to 44 years,24
2001/2002,Yukon,Sentenced,45 to 49 years,15
2001/2002,Yukon,Sentenced,50 years and over,17
2001/2002,Yukon,Sentenced,Age unknown,0
2001/2002,Yukon,Sentenced,Median age on admission,32
2001/2002,Yukon,Remand,"Total, custodial admissions by age group",323
2001/2002,Yukon,Remand,18 to 19 years,19
2001/2002,Yukon,Remand,20 to 24 years,88
2001/2002,Yukon,Remand,25 to 29 years,37
2001/2002,Yukon,Remand,30 to 34 years,66
2001/2002,Yukon,Remand,35 to 39 years,42
2001/2002,Yukon,Remand,40 to 44 years,33
2001/2002,Yukon,Remand,45 to 49 years,17
2001/2002,Yukon,Remand,50 years and over,21
2001/2002,Yukon,Remand,Age unknown,0
2001/2002,Yukon,Remand,Median age on admission,31
2001/2002,Yukon,Other custodial statuses,"Total, custodial admissions by age group",24
2001/2002,Yukon,Other custodial statuses,18 to 19 years,0
2001/2002,Yukon,Other custodial statuses,20 to 24 years,3
2001/2002,Yukon,Other custodial statuses,25 to 29 years,5
2001/2002,Yukon,Other custodial statuses,30 to 34 years,5
2001/2002,Yukon,Other custodial statuses,35 to 39 years,7
2001/2002,Yukon,Other custodial statuses,40 to 44 years,1
2001/2002,Yukon,Other custodial statuses,45 to 49 years,2
2001/2002,Yukon,Other custodial statuses,50 years and over,1
2001/2002,Yukon,Other custodial statuses,Age unknown,0
2001/2002,Yukon,Other custodial statuses,Median age on admission,34
2001/2002,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by age group",812
2001/2002,Northwest Territories,"Total, custodial admissions",18 to 19 years,48
2001/2002,Northwest Territories,"Total, custodial admissions",20 to 24 years,176
2001/2002,Northwest Territories,"Total, custodial admissions",25 to 29 years,149
2001/2002,Northwest Territories,"Total, custodial admissions",30 to 34 years,164
2001/2002,Northwest Territories,"Total, custodial admissions",35 to 39 years,121
2001/2002,Northwest Territories,"Total, custodial admissions",40 to 44 years,68
2001/2002,Northwest Territories,"Total, custodial admissions",45 to 49 years,25
2001/2002,Northwest Territories,"Total, custodial admissions",50 years and over,50
2001/2002,Northwest Territories,"Total, custodial admissions",Age unknown,11
2001/2002,Northwest Territories,Sentenced,"Total, custodial admissions by age group",562
2001/2002,Northwest Territories,Sentenced,18 to 19 years,30
2001/2002,Northwest Territories,Sentenced,20 to 24 years,132
2001/2002,Northwest Territories,Sentenced,25 to 29 years,102
2001/2002,Northwest Territories,Sentenced,30 to 34 years,112
2001/2002,Northwest Territories,Sentenced,35 to 39 years,82
2001/2002,Northwest Territories,Sentenced,40 to 44 years,49
2001/2002,Northwest Territories,Sentenced,45 to 49 years,15
2001/2002,Northwest Territories,Sentenced,50 years and over,32
2001/2002,Northwest Territories,Sentenced,Age unknown,8
2001/2002,Northwest Territories,Sentenced,Median age on admission,30
2001/2002,Northwest Territories,Remand,"Total, custodial admissions by age group",237
2001/2002,Northwest Territories,Remand,18 to 19 years,18
2001/2002,Northwest Territories,Remand,20 to 24 years,42
2001/2002,Northwest Territories,Remand,25 to 29 years,43
2001/2002,Northwest Territories,Remand,30 to 34 years,51
2001/2002,Northwest Territories,Remand,35 to 39 years,38
2001/2002,Northwest Territories,Remand,40 to 44 years,19
2001/2002,Northwest Territories,Remand,45 to 49 years,8
2001/2002,Northwest Territories,Remand,50 years and over,15
2001/2002,Northwest Territories,Remand,Age unknown,3
2001/2002,Northwest Territories,Remand,Median age on admission,30
2001/2002,Northwest Territories,Other custodial statuses,"Total, custodial admissions by age group",13
2001/2002,Northwest Territories,Other custodial statuses,18 to 19 years,0
2001/2002,Northwest Territories,Other custodial statuses,20 to 24 years,2
2001/2002,Northwest Territories,Other custodial statuses,25 to 29 years,4
2001/2002,Northwest Territories,Other custodial statuses,30 to 34 years,1
2001/2002,Northwest Territories,Other custodial statuses,35 to 39 years,1
2001/2002,Northwest Territories,Other custodial statuses,40 to 44 years,0
2001/2002,Northwest Territories,Other custodial statuses,45 to 49 years,2
2001/2002,Northwest Territories,Other custodial statuses,50 years and over,3
2001/2002,Northwest Territories,Other custodial statuses,Age unknown,0
2001/2002,Northwest Territories,Other custodial statuses,Median age on admission,29
2001/2002,Nunavut,"Total, custodial admissions","Total, custodial admissions by age group",531
2001/2002,Nunavut,"Total, custodial admissions",18 to 19 years,27
2001/2002,Nunavut,"Total, custodial admissions",20 to 24 years,111
2001/2002,Nunavut,"Total, custodial admissions",25 to 29 years,107
2001/2002,Nunavut,"Total, custodial admissions",30 to 34 years,125
2001/2002,Nunavut,"Total, custodial admissions",35 to 39 years,93
2001/2002,Nunavut,"Total, custodial admissions",40 to 44 years,24
2001/2002,Nunavut,"Total, custodial admissions",45 to 49 years,26
2001/2002,Nunavut,"Total, custodial admissions",50 years and over,18
2001/2002,Nunavut,"Total, custodial admissions",Age unknown,0
2001/2002,Nunavut,Sentenced,"Total, custodial admissions by age group",313
2001/2002,Nunavut,Sentenced,18 to 19 years,15
2001/2002,Nunavut,Sentenced,20 to 24 years,63
2001/2002,Nunavut,Sentenced,25 to 29 years,57
2001/2002,Nunavut,Sentenced,30 to 34 years,78
2001/2002,Nunavut,Sentenced,35 to 39 years,54
2001/2002,Nunavut,Sentenced,40 to 44 years,17
2001/2002,Nunavut,Sentenced,45 to 49 years,16
2001/2002,Nunavut,Sentenced,50 years and over,13
2001/2002,Nunavut,Sentenced,Age unknown,0
2001/2002,Nunavut,Sentenced,Median age on admission,31
2001/2002,Nunavut,Remand,"Total, custodial admissions by age group",218
2001/2002,Nunavut,Remand,18 to 19 years,12
2001/2002,Nunavut,Remand,20 to 24 years,48
2001/2002,Nunavut,Remand,25 to 29 years,50
2001/2002,Nunavut,Remand,30 to 34 years,47
2001/2002,Nunavut,Remand,35 to 39 years,39
2001/2002,Nunavut,Remand,40 to 44 years,7
2001/2002,Nunavut,Remand,45 to 49 years,10
2001/2002,Nunavut,Remand,50 years and over,5
2001/2002,Nunavut,Remand,Age unknown,0
2001/2002,Nunavut,Remand,Median age on admission,29
2002/2003,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by age group",211092
2002/2003,All Provinces and territories,"Total, custodial admissions",18 to 19 years,16567
2002/2003,All Provinces and territories,"Total, custodial admissions",20 to 24 years,43210
2002/2003,All Provinces and territories,"Total, custodial admissions",25 to 29 years,32092
2002/2003,All Provinces and territories,"Total, custodial admissions",30 to 34 years,32214
2002/2003,All Provinces and territories,"Total, custodial admissions",35 to 39 years,32413
2002/2003,All Provinces and territories,"Total, custodial admissions",40 to 44 years,25777
2002/2003,All Provinces and territories,"Total, custodial admissions",45 to 49 years,14344
2002/2003,All Provinces and territories,"Total, custodial admissions",50 years and over,13967
2002/2003,All Provinces and territories,"Total, custodial admissions",Age unknown,508
2002/2003,All Provinces and territories,Sentenced,"Total, custodial admissions by age group",69033
2002/2003,All Provinces and territories,Sentenced,18 to 19 years,4416
2002/2003,All Provinces and territories,Sentenced,20 to 24 years,13622
2002/2003,All Provinces and territories,Sentenced,25 to 29 years,10489
2002/2003,All Provinces and territories,Sentenced,30 to 34 years,10555
2002/2003,All Provinces and territories,Sentenced,35 to 39 years,10628
2002/2003,All Provinces and territories,Sentenced,40 to 44 years,8800
2002/2003,All Provinces and territories,Sentenced,45 to 49 years,4976
2002/2003,All Provinces and territories,Sentenced,50 years and over,5179
2002/2003,All Provinces and territories,Sentenced,Age unknown,368
2002/2003,All Provinces and territories,Remand,"Total, custodial admissions by age group",115521
2002/2003,All Provinces and territories,Remand,18 to 19 years,10454
2002/2003,All Provinces and territories,Remand,20 to 24 years,24203
2002/2003,All Provinces and territories,Remand,25 to 29 years,17308
2002/2003,All Provinces and territories,Remand,30 to 34 years,17171
2002/2003,All Provinces and territories,Remand,35 to 39 years,17502
2002/2003,All Provinces and territories,Remand,40 to 44 years,13765
2002/2003,All Provinces and territories,Remand,45 to 49 years,7699
2002/2003,All Provinces and territories,Remand,50 years and over,7307
2002/2003,All Provinces and territories,Remand,Age unknown,112
2002/2003,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by age group",26538
2002/2003,All Provinces and territories,Other custodial statuses,18 to 19 years,1697
2002/2003,All Provinces and territories,Other custodial statuses,20 to 24 years,5385
2002/2003,All Provinces and territories,Other custodial statuses,25 to 29 years,4295
2002/2003,All Provinces and territories,Other custodial statuses,30 to 34 years,4488
2002/2003,All Provinces and territories,Other custodial statuses,35 to 39 years,4283
2002/2003,All Provinces and territories,Other custodial statuses,40 to 44 years,3212
2002/2003,All Provinces and territories,Other custodial statuses,45 to 49 years,1669
2002/2003,All Provinces and territories,Other custodial statuses,50 years and over,1481
2002/2003,All Provinces and territories,Other custodial statuses,Age unknown,28
2002/2003,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by age group",1675
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",18 to 19 years,170
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",20 to 24 years,345
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",25 to 29 years,220
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",30 to 34 years,208
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",35 to 39 years,203
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",40 to 44 years,139
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",45 to 49 years,130
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",50 years and over,142
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Age unknown,118
2002/2003,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by age group",1148
2002/2003,Newfoundland and Labrador,Sentenced,18 to 19 years,115
2002/2003,Newfoundland and Labrador,Sentenced,20 to 24 years,219
2002/2003,Newfoundland and Labrador,Sentenced,25 to 29 years,137
2002/2003,Newfoundland and Labrador,Sentenced,30 to 34 years,133
2002/2003,Newfoundland and Labrador,Sentenced,35 to 39 years,126
2002/2003,Newfoundland and Labrador,Sentenced,40 to 44 years,90
2002/2003,Newfoundland and Labrador,Sentenced,45 to 49 years,97
2002/2003,Newfoundland and Labrador,Sentenced,50 years and over,113
2002/2003,Newfoundland and Labrador,Sentenced,Age unknown,118
2002/2003,Newfoundland and Labrador,Sentenced,Median age on admission,31
2002/2003,Newfoundland and Labrador,Remand,"Total, custodial admissions by age group",427
2002/2003,Newfoundland and Labrador,Remand,18 to 19 years,54
2002/2003,Newfoundland and Labrador,Remand,20 to 24 years,98
2002/2003,Newfoundland and Labrador,Remand,25 to 29 years,66
2002/2003,Newfoundland and Labrador,Remand,30 to 34 years,62
2002/2003,Newfoundland and Labrador,Remand,35 to 39 years,59
2002/2003,Newfoundland and Labrador,Remand,40 to 44 years,32
2002/2003,Newfoundland and Labrador,Remand,45 to 49 years,29
2002/2003,Newfoundland and Labrador,Remand,50 years and over,27
2002/2003,Newfoundland and Labrador,Remand,Age unknown,0
2002/2003,Newfoundland and Labrador,Remand,Median age on admission,29
2002/2003,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by age group",100
2002/2003,Newfoundland and Labrador,Other custodial statuses,18 to 19 years,1
2002/2003,Newfoundland and Labrador,Other custodial statuses,20 to 24 years,28
2002/2003,Newfoundland and Labrador,Other custodial statuses,25 to 29 years,17
2002/2003,Newfoundland and Labrador,Other custodial statuses,30 to 34 years,13
2002/2003,Newfoundland and Labrador,Other custodial statuses,35 to 39 years,18
2002/2003,Newfoundland and Labrador,Other custodial statuses,40 to 44 years,17
2002/2003,Newfoundland and Labrador,Other custodial statuses,45 to 49 years,4
2002/2003,Newfoundland and Labrador,Other custodial statuses,50 years and over,2
2002/2003,Newfoundland and Labrador,Other custodial statuses,Age unknown,0
2002/2003,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by age group",859
2002/2003,Prince Edward Island,"Total, custodial admissions",18 to 19 years,13
2002/2003,Prince Edward Island,"Total, custodial admissions",20 to 24 years,197
2002/2003,Prince Edward Island,"Total, custodial admissions",25 to 29 years,137
2002/2003,Prince Edward Island,"Total, custodial admissions",30 to 34 years,119
2002/2003,Prince Edward Island,"Total, custodial admissions",35 to 39 years,106
2002/2003,Prince Edward Island,"Total, custodial admissions",40 to 44 years,106
2002/2003,Prince Edward Island,"Total, custodial admissions",45 to 49 years,61
2002/2003,Prince Edward Island,"Total, custodial admissions",50 years and over,107
2002/2003,Prince Edward Island,"Total, custodial admissions",Age unknown,13
2002/2003,Prince Edward Island,Sentenced,"Total, custodial admissions by age group",594
2002/2003,Prince Edward Island,Sentenced,18 to 19 years,7
2002/2003,Prince Edward Island,Sentenced,20 to 24 years,134
2002/2003,Prince Edward Island,Sentenced,25 to 29 years,96
2002/2003,Prince Edward Island,Sentenced,30 to 34 years,80
2002/2003,Prince Edward Island,Sentenced,35 to 39 years,72
2002/2003,Prince Edward Island,Sentenced,40 to 44 years,70
2002/2003,Prince Edward Island,Sentenced,45 to 49 years,39
2002/2003,Prince Edward Island,Sentenced,50 years and over,85
2002/2003,Prince Edward Island,Sentenced,Age unknown,11
2002/2003,Prince Edward Island,Remand,"Total, custodial admissions by age group",265
2002/2003,Prince Edward Island,Remand,18 to 19 years,6
2002/2003,Prince Edward Island,Remand,20 to 24 years,63
2002/2003,Prince Edward Island,Remand,25 to 29 years,41
2002/2003,Prince Edward Island,Remand,30 to 34 years,39
2002/2003,Prince Edward Island,Remand,35 to 39 years,34
2002/2003,Prince Edward Island,Remand,40 to 44 years,36
2002/2003,Prince Edward Island,Remand,45 to 49 years,22
2002/2003,Prince Edward Island,Remand,50 years and over,22
2002/2003,Prince Edward Island,Remand,Age unknown,2
2002/2003,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by age group",
2002/2003,Prince Edward Island,Other custodial statuses,18 to 19 years,
2002/2003,Prince Edward Island,Other custodial statuses,20 to 24 years,
2002/2003,Prince Edward Island,Other custodial statuses,25 to 29 years,
2002/2003,Prince Edward Island,Other custodial statuses,30 to 34 years,
2002/2003,Prince Edward Island,Other custodial statuses,35 to 39 years,
