REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,Newfoundland and Labrador,Other custodial statuses,50 years and over,
2000/2001,Newfoundland and Labrador,Other custodial statuses,Age unknown,
2000/2001,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by age group",762
2000/2001,Prince Edward Island,"Total, custodial admissions",18 to 19 years,62
2000/2001,Prince Edward Island,"Total, custodial admissions",20 to 24 years,136
2000/2001,Prince Edward Island,"Total, custodial admissions",25 to 29 years,124
2000/2001,Prince Edward Island,"Total, custodial admissions",30 to 34 years,131
2000/2001,Prince Edward Island,"Total, custodial admissions",35 to 39 years,110
2000/2001,Prince Edward Island,"Total, custodial admissions",40 to 44 years,83
2000/2001,Prince Edward Island,"Total, custodial admissions",45 to 49 years,53
2000/2001,Prince Edward Island,"Total, custodial admissions",50 years and over,62
2000/2001,Prince Edward Island,"Total, custodial admissions",Age unknown,1
2000/2001,Prince Edward Island,Sentenced,"Total, custodial admissions by age group",586
2000/2001,Prince Edward Island,Sentenced,18 to 19 years,57
2000/2001,Prince Edward Island,Sentenced,20 to 24 years,116
2000/2001,Prince Edward Island,Sentenced,25 to 29 years,79
2000/2001,Prince Edward Island,Sentenced,30 to 34 years,82
2000/2001,Prince Edward Island,Sentenced,35 to 39 years,83
2000/2001,Prince Edward Island,Sentenced,40 to 44 years,68
2000/2001,Prince Edward Island,Sentenced,45 to 49 years,47
2000/2001,Prince Edward Island,Sentenced,50 years and over,54
2000/2001,Prince Edward Island,Sentenced,Age unknown,0
2000/2001,Prince Edward Island,Remand,"Total, custodial admissions by age group",176
2000/2001,Prince Edward Island,Remand,18 to 19 years,5
2000/2001,Prince Edward Island,Remand,20 to 24 years,20
2000/2001,Prince Edward Island,Remand,25 to 29 years,45
2000/2001,Prince Edward Island,Remand,30 to 34 years,49
2000/2001,Prince Edward Island,Remand,35 to 39 years,27
2000/2001,Prince Edward Island,Remand,40 to 44 years,15
2000/2001,Prince Edward Island,Remand,45 to 49 years,6
2000/2001,Prince Edward Island,Remand,50 years and over,8
2000/2001,Prince Edward Island,Remand,Age unknown,1
2000/2001,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by age group",
2000/2001,Prince Edward Island,Other custodial statuses,18 to 19 years,
2000/2001,Prince Edward Island,Other custodial statuses,20 to 24 years,
2000/2001,Prince Edward Island,Other custodial statuses,25 to 29 years,
2000/2001,Prince Edward Island,Other custodial statuses,30 to 34 years,
2000/2001,Prince Edward Island,Other custodial statuses,35 to 39 years,
2000/2001,Prince Edward Island,Other custodial statuses,40 to 44 years,
2000/2001,Prince Edward Island,Other custodial statuses,45 to 49 years,
2000/2001,Prince Edward Island,Other custodial statuses,50 years and over,
2000/2001,Prince Edward Island,Other custodial statuses,Age unknown,
2000/2001,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by age group",3788
2000/2001,Nova Scotia,"Total, custodial admissions",18 to 19 years,363
2000/2001,Nova Scotia,"Total, custodial admissions",20 to 24 years,839
2000/2001,Nova Scotia,"Total, custodial admissions",25 to 29 years,589
2000/2001,Nova Scotia,"Total, custodial admissions",30 to 34 years,558
2000/2001,Nova Scotia,"Total, custodial admissions",35 to 39 years,598
2000/2001,Nova Scotia,"Total, custodial admissions",40 to 44 years,376
2000/2001,Nova Scotia,"Total, custodial admissions",45 to 49 years,256
2000/2001,Nova Scotia,"Total, custodial admissions",50 years and over,207
2000/2001,Nova Scotia,"Total, custodial admissions",Age unknown,2
