REF_DATE,GEO,Initial entry status,VALUE
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,3522
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,3522
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
1998/1999,Manitoba,Total correctional services,1644
1998/1999,Manitoba,Pre-trial detention,1468
1998/1999,Manitoba,Secure custody,63
1998/1999,Manitoba,Custody and supervision (secure),
1998/1999,Manitoba,Young Offenders Act (YOA) (secure),
1998/1999,Manitoba,Open custody,113
1998/1999,Manitoba,Custody and supervision (open),
1998/1999,Manitoba,Young Offenders Act (YOA) (open),
1998/1999,Manitoba,Total community sentences,
1998/1999,Manitoba,Intensive support and supervision,
1998/1999,Manitoba,Deferred custody and supervision,
1998/1999,Manitoba,Supervised probation,
1998/1999,Manitoba,Other community sentences,
1998/1999,Saskatchewan,Total correctional services,8551
1998/1999,Saskatchewan,Pre-trial detention,4873
1998/1999,Saskatchewan,Secure custody,332
1998/1999,Saskatchewan,Custody and supervision (secure),
1998/1999,Saskatchewan,Young Offenders Act (YOA) (secure),
1998/1999,Saskatchewan,Open custody,449
1998/1999,Saskatchewan,Custody and supervision (open),
1998/1999,Saskatchewan,Young Offenders Act (YOA) (open),
1998/1999,Saskatchewan,Total community sentences,2897
1998/1999,Saskatchewan,Intensive support and supervision,
1998/1999,Saskatchewan,Deferred custody and supervision,
1998/1999,Saskatchewan,Supervised probation,1959
1998/1999,Saskatchewan,Other community sentences,938
1998/1999,Alberta,Total correctional services,5507
1998/1999,Alberta,Pre-trial detention,1241
1998/1999,Alberta,Secure custody,170
1998/1999,Alberta,Custody and supervision (secure),
1998/1999,Alberta,Young Offenders Act (YOA) (secure),
1998/1999,Alberta,Open custody,121
1998/1999,Alberta,Custody and supervision (open),
1998/1999,Alberta,Young Offenders Act (YOA) (open),
1998/1999,Alberta,Total community sentences,3975
1998/1999,Alberta,Intensive support and supervision,
1998/1999,Alberta,Deferred custody and supervision,
1998/1999,Alberta,Supervised probation,1560
1998/1999,Alberta,Other community sentences,2415
1998/1999,British Columbia,Total correctional services,7971
1998/1999,British Columbia,Pre-trial detention,2393
1998/1999,British Columbia,Secure custody,660
1998/1999,British Columbia,Custody and supervision (secure),
1998/1999,British Columbia,Young Offenders Act (YOA) (secure),
1998/1999,British Columbia,Open custody,824
1998/1999,British Columbia,Custody and supervision (open),
1998/1999,British Columbia,Young Offenders Act (YOA) (open),
1998/1999,British Columbia,Total community sentences,4094
1998/1999,British Columbia,Intensive support and supervision,
1998/1999,British Columbia,Deferred custody and supervision,
1998/1999,British Columbia,Supervised probation,4094
1998/1999,British Columbia,Other community sentences,
1998/1999,Yukon,Total correctional services,116
1998/1999,Yukon,Pre-trial detention,26
1998/1999,Yukon,Secure custody,6
1998/1999,Yukon,Custody and supervision (secure),
1998/1999,Yukon,Young Offenders Act (YOA) (secure),
1998/1999,Yukon,Open custody,3
1998/1999,Yukon,Custody and supervision (open),
1998/1999,Yukon,Young Offenders Act (YOA) (open),
1998/1999,Yukon,Total community sentences,81
1998/1999,Yukon,Intensive support and supervision,
1998/1999,Yukon,Deferred custody and supervision,
1998/1999,Yukon,Supervised probation,64
1998/1999,Yukon,Other community sentences,17
1998/1999,Northwest Territories including Nunavut,Total correctional services,138
1998/1999,Northwest Territories including Nunavut,Pre-trial detention,37
1998/1999,Northwest Territories including Nunavut,Secure custody,39
1998/1999,Northwest Territories including Nunavut,Custody and supervision (secure),
1998/1999,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
1998/1999,Northwest Territories including Nunavut,Open custody,62
1998/1999,Northwest Territories including Nunavut,Custody and supervision (open),
1998/1999,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
1998/1999,Northwest Territories including Nunavut,Total community sentences,
1998/1999,Northwest Territories including Nunavut,Intensive support and supervision,
1998/1999,Northwest Territories including Nunavut,Deferred custody and supervision,
1998/1999,Northwest Territories including Nunavut,Supervised probation,
1998/1999,Northwest Territories including Nunavut,Other community sentences,
1998/1999,Northwest Territories,Total correctional services,
1998/1999,Northwest Territories,Pre-trial detention,
1998/1999,Northwest Territories,Secure custody,
1998/1999,Northwest Territories,Custody and supervision (secure),
1998/1999,Northwest Territories,Young Offenders Act (YOA) (secure),
1998/1999,Northwest Territories,Open custody,
1998/1999,Northwest Territories,Custody and supervision (open),
1998/1999,Northwest Territories,Young Offenders Act (YOA) (open),
1998/1999,Northwest Territories,Total community sentences,
1998/1999,Northwest Territories,Intensive support and supervision,
1998/1999,Northwest Territories,Deferred custody and supervision,
1998/1999,Northwest Territories,Supervised probation,
1998/1999,Northwest Territories,Other community sentences,
1998/1999,Nunavut,Total correctional services,
1998/1999,Nunavut,Pre-trial detention,
1998/1999,Nunavut,Secure custody,
1998/1999,Nunavut,Custody and supervision (secure),
1998/1999,Nunavut,Young Offenders Act (YOA) (secure),
1998/1999,Nunavut,Open custody,
1998/1999,Nunavut,Custody and supervision (open),
1998/1999,Nunavut,Young Offenders Act (YOA) (open),
1998/1999,Nunavut,Total community sentences,
1998/1999,Nunavut,Intensive support and supervision,
1998/1999,Nunavut,Deferred custody and supervision,
1998/1999,Nunavut,Supervised probation,
1998/1999,Nunavut,Other community sentences,
1999/2000,Provinces and territories,Total correctional services,35415
1999/2000,Provinces and territories,Pre-trial detention,9445
1999/2000,Provinces and territories,Secure custody,2290
1999/2000,Provinces and territories,Custody and supervision (secure),
1999/2000,Provinces and territories,Young Offenders Act (YOA) (secure),
1999/2000,Provinces and territories,Open custody,3016
1999/2000,Provinces and territories,Custody and supervision (open),
