REF_DATE,GEO,Initial entry status,VALUE
2003/2004,Newfoundland and Labrador,Pre-trial detention,61
2003/2004,Newfoundland and Labrador,Secure custody,30
2003/2004,Newfoundland and Labrador,Custody and supervision (secure),30
2003/2004,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2003/2004,Newfoundland and Labrador,Open custody,20
2003/2004,Newfoundland and Labrador,Custody and supervision (open),20
2003/2004,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2003/2004,Newfoundland and Labrador,Total community sentences,694
2003/2004,Newfoundland and Labrador,Intensive support and supervision,0
2003/2004,Newfoundland and Labrador,Deferred custody and supervision,7
2003/2004,Newfoundland and Labrador,Supervised probation,381
2003/2004,Newfoundland and Labrador,Other community sentences,306
2003/2004,Prince Edward Island,Total correctional services,224
2003/2004,Prince Edward Island,Pre-trial detention,
2003/2004,Prince Edward Island,Secure custody,
2003/2004,Prince Edward Island,Custody and supervision (secure),
2003/2004,Prince Edward Island,Young Offenders Act (YOA) (secure),
2003/2004,Prince Edward Island,Open custody,
2003/2004,Prince Edward Island,Custody and supervision (open),
2003/2004,Prince Edward Island,Young Offenders Act (YOA) (open),
2003/2004,Prince Edward Island,Total community sentences,224
2003/2004,Prince Edward Island,Intensive support and supervision,
2003/2004,Prince Edward Island,Deferred custody and supervision,
2003/2004,Prince Edward Island,Supervised probation,133
2003/2004,Prince Edward Island,Other community sentences,91
2003/2004,Nova Scotia,Total correctional services,1269
2003/2004,Nova Scotia,Pre-trial detention,331
2003/2004,Nova Scotia,Secure custody,4
2003/2004,Nova Scotia,Custody and supervision (secure),4
2003/2004,Nova Scotia,Young Offenders Act (YOA) (secure),
2003/2004,Nova Scotia,Open custody,42
2003/2004,Nova Scotia,Custody and supervision (open),39
2003/2004,Nova Scotia,Young Offenders Act (YOA) (open),3
2003/2004,Nova Scotia,Total community sentences,892
2003/2004,Nova Scotia,Intensive support and supervision,
2003/2004,Nova Scotia,Deferred custody and supervision,
2003/2004,Nova Scotia,Supervised probation,892
2003/2004,Nova Scotia,Other community sentences,0
2003/2004,New Brunswick,Total correctional services,584
2003/2004,New Brunswick,Pre-trial detention,113
2003/2004,New Brunswick,Secure custody,14
2003/2004,New Brunswick,Custody and supervision (secure),14
2003/2004,New Brunswick,Young Offenders Act (YOA) (secure),0
2003/2004,New Brunswick,Open custody,10
2003/2004,New Brunswick,Custody and supervision (open),10
2003/2004,New Brunswick,Young Offenders Act (YOA) (open),0
2003/2004,New Brunswick,Total community sentences,447
2003/2004,New Brunswick,Intensive support and supervision,
2003/2004,New Brunswick,Deferred custody and supervision,18
2003/2004,New Brunswick,Supervised probation,335
2003/2004,New Brunswick,Other community sentences,94
2003/2004,Quebec,Total correctional services,
2003/2004,Quebec,Pre-trial detention,
2003/2004,Quebec,Secure custody,
2003/2004,Quebec,Custody and supervision (secure),
2003/2004,Quebec,Young Offenders Act (YOA) (secure),
2003/2004,Quebec,Open custody,
2003/2004,Quebec,Custody and supervision (open),
2003/2004,Quebec,Young Offenders Act (YOA) (open),
2003/2004,Quebec,Total community sentences,
2003/2004,Quebec,Intensive support and supervision,
2003/2004,Quebec,Deferred custody and supervision,
2003/2004,Quebec,Supervised probation,
2003/2004,Quebec,Other community sentences,
2003/2004,Ontario,Total correctional services,11563
2003/2004,Ontario,Pre-trial detention,3836
2003/2004,Ontario,Secure custody,128
2003/2004,Ontario,Custody and supervision (secure),127
2003/2004,Ontario,Young Offenders Act (YOA) (secure),
2003/2004,Ontario,Open custody,63
2003/2004,Ontario,Custody and supervision (open),60
2003/2004,Ontario,Young Offenders Act (YOA) (open),3
2003/2004,Ontario,Total community sentences,7536
2003/2004,Ontario,Intensive support and supervision,0
2003/2004,Ontario,Deferred custody and supervision,159
2003/2004,Ontario,Supervised probation,5683
2003/2004,Ontario,Other community sentences,1694
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,3686
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,6
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),6
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),0
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,11
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),8
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),3
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,3669
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,0
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,43
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,2623
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,1003
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,7877
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,3836
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,122
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),121
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,52
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),52
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,3867
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,116
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,3060
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,691
2003/2004,Manitoba,Total correctional services,3355
2003/2004,Manitoba,Pre-trial detention,1539
2003/2004,Manitoba,Secure custody,73
2003/2004,Manitoba,Custody and supervision (secure),67
2003/2004,Manitoba,Young Offenders Act (YOA) (secure),5
2003/2004,Manitoba,Open custody,210
2003/2004,Manitoba,Custody and supervision (open),161
2003/2004,Manitoba,Young Offenders Act (YOA) (open),49
2003/2004,Manitoba,Total community sentences,1533
2003/2004,Manitoba,Intensive support and supervision,
2003/2004,Manitoba,Deferred custody and supervision,45
2003/2004,Manitoba,Supervised probation,788
2003/2004,Manitoba,Other community sentences,700
2003/2004,Saskatchewan,Total correctional services,
2003/2004,Saskatchewan,Pre-trial detention,
2003/2004,Saskatchewan,Secure custody,
2003/2004,Saskatchewan,Custody and supervision (secure),
2003/2004,Saskatchewan,Young Offenders Act (YOA) (secure),
2003/2004,Saskatchewan,Open custody,
2003/2004,Saskatchewan,Custody and supervision (open),
2003/2004,Saskatchewan,Young Offenders Act (YOA) (open),
2003/2004,Saskatchewan,Total community sentences,
2003/2004,Saskatchewan,Intensive support and supervision,
2003/2004,Saskatchewan,Deferred custody and supervision,
2003/2004,Saskatchewan,Supervised probation,
2003/2004,Saskatchewan,Other community sentences,
2003/2004,Alberta,Total correctional services,4804
2003/2004,Alberta,Pre-trial detention,1932
2003/2004,Alberta,Secure custody,59
2003/2004,Alberta,Custody and supervision (secure),59
2003/2004,Alberta,Young Offenders Act (YOA) (secure),
2003/2004,Alberta,Open custody,32
2003/2004,Alberta,Custody and supervision (open),32
2003/2004,Alberta,Young Offenders Act (YOA) (open),
2003/2004,Alberta,Total community sentences,2781
2003/2004,Alberta,Intensive support and supervision,20
2003/2004,Alberta,Deferred custody and supervision,185
2003/2004,Alberta,Supervised probation,1604
2003/2004,Alberta,Other community sentences,972
2003/2004,British Columbia,Total correctional services,
2003/2004,British Columbia,Pre-trial detention,
2003/2004,British Columbia,Secure custody,
2003/2004,British Columbia,Custody and supervision (secure),
2003/2004,British Columbia,Young Offenders Act (YOA) (secure),
2003/2004,British Columbia,Open custody,
2003/2004,British Columbia,Custody and supervision (open),
2003/2004,British Columbia,Young Offenders Act (YOA) (open),
2003/2004,British Columbia,Total community sentences,
2003/2004,British Columbia,Intensive support and supervision,
2003/2004,British Columbia,Deferred custody and supervision,
2003/2004,British Columbia,Supervised probation,
2003/2004,British Columbia,Other community sentences,
2003/2004,Yukon,Total correctional services,39
2003/2004,Yukon,Pre-trial detention,11
2003/2004,Yukon,Secure custody,0
2003/2004,Yukon,Custody and supervision (secure),0
2003/2004,Yukon,Young Offenders Act (YOA) (secure),
2003/2004,Yukon,Open custody,0
2003/2004,Yukon,Custody and supervision (open),0
2003/2004,Yukon,Young Offenders Act (YOA) (open),
2003/2004,Yukon,Total community sentences,28
2003/2004,Yukon,Intensive support and supervision,3
2003/2004,Yukon,Deferred custody and supervision,0
2003/2004,Yukon,Supervised probation,14
2003/2004,Yukon,Other community sentences,11
2003/2004,Northwest Territories including Nunavut,Total correctional services,
2003/2004,Northwest Territories including Nunavut,Pre-trial detention,
2003/2004,Northwest Territories including Nunavut,Secure custody,
2003/2004,Northwest Territories including Nunavut,Custody and supervision (secure),
2003/2004,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2003/2004,Northwest Territories including Nunavut,Open custody,
2003/2004,Northwest Territories including Nunavut,Custody and supervision (open),
2003/2004,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2003/2004,Northwest Territories including Nunavut,Total community sentences,
2003/2004,Northwest Territories including Nunavut,Intensive support and supervision,
2003/2004,Northwest Territories including Nunavut,Deferred custody and supervision,
2003/2004,Northwest Territories including Nunavut,Supervised probation,
2003/2004,Northwest Territories including Nunavut,Other community sentences,
2003/2004,Northwest Territories,Total correctional services,21
2003/2004,Northwest Territories,Pre-trial detention,6
2003/2004,Northwest Territories,Secure custody,7
2003/2004,Northwest Territories,Custody and supervision (secure),7
2003/2004,Northwest Territories,Young Offenders Act (YOA) (secure),
2003/2004,Northwest Territories,Open custody,7
2003/2004,Northwest Territories,Custody and supervision (open),7
2003/2004,Northwest Territories,Young Offenders Act (YOA) (open),
2003/2004,Northwest Territories,Total community sentences,1
2003/2004,Northwest Territories,Intensive support and supervision,0
2003/2004,Northwest Territories,Deferred custody and supervision,1
2003/2004,Northwest Territories,Supervised probation,
2003/2004,Northwest Territories,Other community sentences,
2003/2004,Nunavut,Total correctional services,85
2003/2004,Nunavut,Pre-trial detention,23
2003/2004,Nunavut,Secure custody,5
2003/2004,Nunavut,Custody and supervision (secure),5
2003/2004,Nunavut,Young Offenders Act (YOA) (secure),
2003/2004,Nunavut,Open custody,3
2003/2004,Nunavut,Custody and supervision (open),3
2003/2004,Nunavut,Young Offenders Act (YOA) (open),
2003/2004,Nunavut,Total community sentences,54
2003/2004,Nunavut,Intensive support and supervision,
2003/2004,Nunavut,Deferred custody and supervision,
2003/2004,Nunavut,Supervised probation,50
2003/2004,Nunavut,Other community sentences,4
2004/2005,Provinces and territories,Total correctional services,16790
2004/2005,Provinces and territories,Pre-trial detention,7011
2004/2005,Provinces and territories,Secure custody,252
2004/2005,Provinces and territories,Custody and supervision (secure),252
2004/2005,Provinces and territories,Young Offenders Act (YOA) (secure),0
2004/2005,Provinces and territories,Open custody,350
2004/2005,Provinces and territories,Custody and supervision (open),349
2004/2005,Provinces and territories,Young Offenders Act (YOA) (open),1
2004/2005,Provinces and territories,Total community sentences,9177
2004/2005,Provinces and territories,Intensive support and supervision,2
2004/2005,Provinces and territories,Deferred custody and supervision,284
2004/2005,Provinces and territories,Supervised probation,8369
2004/2005,Provinces and territories,Other community sentences,522
2004/2005,Newfoundland and Labrador,Total correctional services,381
2004/2005,Newfoundland and Labrador,Pre-trial detention,17
2004/2005,Newfoundland and Labrador,Secure custody,15
2004/2005,Newfoundland and Labrador,Custody and supervision (secure),15
2004/2005,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2004/2005,Newfoundland and Labrador,Open custody,12
2004/2005,Newfoundland and Labrador,Custody and supervision (open),12
2004/2005,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2004/2005,Newfoundland and Labrador,Total community sentences,337
2004/2005,Newfoundland and Labrador,Intensive support and supervision,0
2004/2005,Newfoundland and Labrador,Deferred custody and supervision,5
2004/2005,Newfoundland and Labrador,Supervised probation,300
2004/2005,Newfoundland and Labrador,Other community sentences,32
2004/2005,Prince Edward Island,Total correctional services,
2004/2005,Prince Edward Island,Pre-trial detention,
2004/2005,Prince Edward Island,Secure custody,
2004/2005,Prince Edward Island,Custody and supervision (secure),
2004/2005,Prince Edward Island,Young Offenders Act (YOA) (secure),
2004/2005,Prince Edward Island,Open custody,
2004/2005,Prince Edward Island,Custody and supervision (open),
2004/2005,Prince Edward Island,Young Offenders Act (YOA) (open),
2004/2005,Prince Edward Island,Total community sentences,
2004/2005,Prince Edward Island,Intensive support and supervision,
2004/2005,Prince Edward Island,Deferred custody and supervision,
2004/2005,Prince Edward Island,Supervised probation,
2004/2005,Prince Edward Island,Other community sentences,
2004/2005,Nova Scotia,Total correctional services,976
2004/2005,Nova Scotia,Pre-trial detention,213
2004/2005,Nova Scotia,Secure custody,3
2004/2005,Nova Scotia,Custody and supervision (secure),3
2004/2005,Nova Scotia,Young Offenders Act (YOA) (secure),
2004/2005,Nova Scotia,Open custody,26
2004/2005,Nova Scotia,Custody and supervision (open),26
2004/2005,Nova Scotia,Young Offenders Act (YOA) (open),0
2004/2005,Nova Scotia,Total community sentences,734
2004/2005,Nova Scotia,Intensive support and supervision,
2004/2005,Nova Scotia,Deferred custody and supervision,98
2004/2005,Nova Scotia,Supervised probation,535
2004/2005,Nova Scotia,Other community sentences,101
2004/2005,New Brunswick,Total correctional services,597
2004/2005,New Brunswick,Pre-trial detention,87
2004/2005,New Brunswick,Secure custody,9
2004/2005,New Brunswick,Custody and supervision (secure),9
2004/2005,New Brunswick,Young Offenders Act (YOA) (secure),0
2004/2005,New Brunswick,Open custody,12
2004/2005,New Brunswick,Custody and supervision (open),11
2004/2005,New Brunswick,Young Offenders Act (YOA) (open),1
2004/2005,New Brunswick,Total community sentences,489
2004/2005,New Brunswick,Intensive support and supervision,
2004/2005,New Brunswick,Deferred custody and supervision,11
2004/2005,New Brunswick,Supervised probation,366
2004/2005,New Brunswick,Other community sentences,112
2004/2005,Quebec,Total correctional services,
2004/2005,Quebec,Pre-trial detention,
2004/2005,Quebec,Secure custody,
2004/2005,Quebec,Custody and supervision (secure),
2004/2005,Quebec,Young Offenders Act (YOA) (secure),
2004/2005,Quebec,Open custody,
2004/2005,Quebec,Custody and supervision (open),
2004/2005,Quebec,Young Offenders Act (YOA) (open),
2004/2005,Quebec,Total community sentences,
2004/2005,Quebec,Intensive support and supervision,
2004/2005,Quebec,Deferred custody and supervision,
2004/2005,Quebec,Supervised probation,
2004/2005,Quebec,Other community sentences,
2004/2005,Ontario,Total correctional services,10149
2004/2005,Ontario,Pre-trial detention,3547
2004/2005,Ontario,Secure custody,84
2004/2005,Ontario,Custody and supervision (secure),84
2004/2005,Ontario,Young Offenders Act (YOA) (secure),
2004/2005,Ontario,Open custody,115
2004/2005,Ontario,Custody and supervision (open),115
2004/2005,Ontario,Young Offenders Act (YOA) (open),0
2004/2005,Ontario,Total community sentences,6403
2004/2005,Ontario,Intensive support and supervision,0
2004/2005,Ontario,Deferred custody and supervision,92
2004/2005,Ontario,Supervised probation,6162
2004/2005,Ontario,Other community sentences,149
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
2004/2005,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,
2004/2005,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2004/2005,Manitoba,Total correctional services,2864
2004/2005,Manitoba,Pre-trial detention,1552
2004/2005,Manitoba,Secure custody,83
2004/2005,Manitoba,Custody and supervision (secure),83
2004/2005,Manitoba,Young Offenders Act (YOA) (secure),0
2004/2005,Manitoba,Open custody,147
2004/2005,Manitoba,Custody and supervision (open),147
2004/2005,Manitoba,Young Offenders Act (YOA) (open),0
2004/2005,Manitoba,Total community sentences,1082
2004/2005,Manitoba,Intensive support and supervision,
2004/2005,Manitoba,Deferred custody and supervision,76
2004/2005,Manitoba,Supervised probation,931
2004/2005,Manitoba,Other community sentences,75
2004/2005,Saskatchewan,Total correctional services,
2004/2005,Saskatchewan,Pre-trial detention,
2004/2005,Saskatchewan,Secure custody,
2004/2005,Saskatchewan,Custody and supervision (secure),
2004/2005,Saskatchewan,Young Offenders Act (YOA) (secure),
2004/2005,Saskatchewan,Open custody,
2004/2005,Saskatchewan,Custody and supervision (open),
2004/2005,Saskatchewan,Young Offenders Act (YOA) (open),
2004/2005,Saskatchewan,Total community sentences,
2004/2005,Saskatchewan,Intensive support and supervision,
2004/2005,Saskatchewan,Deferred custody and supervision,
2004/2005,Saskatchewan,Supervised probation,
2004/2005,Saskatchewan,Other community sentences,
2004/2005,Alberta,Total correctional services,1619
2004/2005,Alberta,Pre-trial detention,1543
2004/2005,Alberta,Secure custody,52
2004/2005,Alberta,Custody and supervision (secure),52
2004/2005,Alberta,Young Offenders Act (YOA) (secure),
2004/2005,Alberta,Open custody,24
2004/2005,Alberta,Custody and supervision (open),24
2004/2005,Alberta,Young Offenders Act (YOA) (open),
2004/2005,Alberta,Total community sentences,
2004/2005,Alberta,Intensive support and supervision,
2004/2005,Alberta,Deferred custody and supervision,
2004/2005,Alberta,Supervised probation,
2004/2005,Alberta,Other community sentences,
2004/2005,British Columbia,Total correctional services,
2004/2005,British Columbia,Pre-trial detention,
2004/2005,British Columbia,Secure custody,
2004/2005,British Columbia,Custody and supervision (secure),
2004/2005,British Columbia,Young Offenders Act (YOA) (secure),
2004/2005,British Columbia,Open custody,
2004/2005,British Columbia,Custody and supervision (open),
2004/2005,British Columbia,Young Offenders Act (YOA) (open),
2004/2005,British Columbia,Total community sentences,
2004/2005,British Columbia,Intensive support and supervision,
2004/2005,British Columbia,Deferred custody and supervision,
2004/2005,British Columbia,Supervised probation,
2004/2005,British Columbia,Other community sentences,
2004/2005,Yukon,Total correctional services,54
2004/2005,Yukon,Pre-trial detention,15
2004/2005,Yukon,Secure custody,0
2004/2005,Yukon,Custody and supervision (secure),0
2004/2005,Yukon,Young Offenders Act (YOA) (secure),
2004/2005,Yukon,Open custody,6
2004/2005,Yukon,Custody and supervision (open),6
2004/2005,Yukon,Young Offenders Act (YOA) (open),
2004/2005,Yukon,Total community sentences,33
2004/2005,Yukon,Intensive support and supervision,1
2004/2005,Yukon,Deferred custody and supervision,0
2004/2005,Yukon,Supervised probation,25
2004/2005,Yukon,Other community sentences,7
2004/2005,Northwest Territories including Nunavut,Total correctional services,
2004/2005,Northwest Territories including Nunavut,Pre-trial detention,
2004/2005,Northwest Territories including Nunavut,Secure custody,
2004/2005,Northwest Territories including Nunavut,Custody and supervision (secure),
2004/2005,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2004/2005,Northwest Territories including Nunavut,Open custody,
2004/2005,Northwest Territories including Nunavut,Custody and supervision (open),
2004/2005,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2004/2005,Northwest Territories including Nunavut,Total community sentences,
2004/2005,Northwest Territories including Nunavut,Intensive support and supervision,
2004/2005,Northwest Territories including Nunavut,Deferred custody and supervision,
2004/2005,Northwest Territories including Nunavut,Supervised probation,
2004/2005,Northwest Territories including Nunavut,Other community sentences,
2004/2005,Northwest Territories,Total correctional services,55
2004/2005,Northwest Territories,Pre-trial detention,5
2004/2005,Northwest Territories,Secure custody,5
2004/2005,Northwest Territories,Custody and supervision (secure),5
2004/2005,Northwest Territories,Young Offenders Act (YOA) (secure),
2004/2005,Northwest Territories,Open custody,2
2004/2005,Northwest Territories,Custody and supervision (open),2
2004/2005,Northwest Territories,Young Offenders Act (YOA) (open),
2004/2005,Northwest Territories,Total community sentences,43
2004/2005,Northwest Territories,Intensive support and supervision,1
2004/2005,Northwest Territories,Deferred custody and supervision,2
2004/2005,Northwest Territories,Supervised probation,
2004/2005,Northwest Territories,Other community sentences,40
2004/2005,Nunavut,Total correctional services,95
2004/2005,Nunavut,Pre-trial detention,32
2004/2005,Nunavut,Secure custody,1
2004/2005,Nunavut,Custody and supervision (secure),1
2004/2005,Nunavut,Young Offenders Act (YOA) (secure),
2004/2005,Nunavut,Open custody,6
2004/2005,Nunavut,Custody and supervision (open),6
2004/2005,Nunavut,Young Offenders Act (YOA) (open),
2004/2005,Nunavut,Total community sentences,56
2004/2005,Nunavut,Intensive support and supervision,
2004/2005,Nunavut,Deferred custody and supervision,
2004/2005,Nunavut,Supervised probation,50
2004/2005,Nunavut,Other community sentences,6
2005/2006,Provinces and territories,Total correctional services,17821
2005/2006,Provinces and territories,Pre-trial detention,7930
2005/2006,Provinces and territories,Secure custody,211
2005/2006,Provinces and territories,Custody and supervision (secure),211
2005/2006,Provinces and territories,Young Offenders Act (YOA) (secure),0
2005/2006,Provinces and territories,Open custody,351
2005/2006,Provinces and territories,Custody and supervision (open),351
2005/2006,Provinces and territories,Young Offenders Act (YOA) (open),0
2005/2006,Provinces and territories,Total community sentences,9329
2005/2006,Provinces and territories,Intensive support and supervision,1
2005/2006,Provinces and territories,Deferred custody and supervision,310
2005/2006,Provinces and territories,Supervised probation,7978
2005/2006,Provinces and territories,Other community sentences,1040
2005/2006,Newfoundland and Labrador,Total correctional services,298
2005/2006,Newfoundland and Labrador,Pre-trial detention,11
2005/2006,Newfoundland and Labrador,Secure custody,6
2005/2006,Newfoundland and Labrador,Custody and supervision (secure),6
2005/2006,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2005/2006,Newfoundland and Labrador,Open custody,4
2005/2006,Newfoundland and Labrador,Custody and supervision (open),4
2005/2006,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2005/2006,Newfoundland and Labrador,Total community sentences,277
2005/2006,Newfoundland and Labrador,Intensive support and supervision,0
2005/2006,Newfoundland and Labrador,Deferred custody and supervision,5
2005/2006,Newfoundland and Labrador,Supervised probation,249
2005/2006,Newfoundland and Labrador,Other community sentences,23
2005/2006,Prince Edward Island,Total correctional services,
2005/2006,Prince Edward Island,Pre-trial detention,
2005/2006,Prince Edward Island,Secure custody,
2005/2006,Prince Edward Island,Custody and supervision (secure),
2005/2006,Prince Edward Island,Young Offenders Act (YOA) (secure),
2005/2006,Prince Edward Island,Open custody,
2005/2006,Prince Edward Island,Custody and supervision (open),
2005/2006,Prince Edward Island,Young Offenders Act (YOA) (open),
2005/2006,Prince Edward Island,Total community sentences,
2005/2006,Prince Edward Island,Intensive support and supervision,
2005/2006,Prince Edward Island,Deferred custody and supervision,
2005/2006,Prince Edward Island,Supervised probation,
2005/2006,Prince Edward Island,Other community sentences,
2005/2006,Nova Scotia,Total correctional services,450
2005/2006,Nova Scotia,Pre-trial detention,305
2005/2006,Nova Scotia,Secure custody,1
2005/2006,Nova Scotia,Custody and supervision (secure),1
2005/2006,Nova Scotia,Young Offenders Act (YOA) (secure),
2005/2006,Nova Scotia,Open custody,52
2005/2006,Nova Scotia,Custody and supervision (open),52
2005/2006,Nova Scotia,Young Offenders Act (YOA) (open),0
2005/2006,Nova Scotia,Total community sentences,92
2005/2006,Nova Scotia,Intensive support and supervision,
2005/2006,Nova Scotia,Deferred custody and supervision,92
2005/2006,Nova Scotia,Supervised probation,
2005/2006,Nova Scotia,Other community sentences,
2005/2006,New Brunswick,Total correctional services,678
2005/2006,New Brunswick,Pre-trial detention,104
2005/2006,New Brunswick,Secure custody,6
2005/2006,New Brunswick,Custody and supervision (secure),6
2005/2006,New Brunswick,Young Offenders Act (YOA) (secure),0
2005/2006,New Brunswick,Open custody,6
2005/2006,New Brunswick,Custody and supervision (open),6
2005/2006,New Brunswick,Young Offenders Act (YOA) (open),0
2005/2006,New Brunswick,Total community sentences,562
2005/2006,New Brunswick,Intensive support and supervision,
2005/2006,New Brunswick,Deferred custody and supervision,23
2005/2006,New Brunswick,Supervised probation,399
2005/2006,New Brunswick,Other community sentences,140
2005/2006,Quebec,Total correctional services,
2005/2006,Quebec,Pre-trial detention,
2005/2006,Quebec,Secure custody,
2005/2006,Quebec,Custody and supervision (secure),
2005/2006,Quebec,Young Offenders Act (YOA) (secure),
2005/2006,Quebec,Open custody,
2005/2006,Quebec,Custody and supervision (open),
2005/2006,Quebec,Young Offenders Act (YOA) (open),
2005/2006,Quebec,Total community sentences,
2005/2006,Quebec,Intensive support and supervision,
2005/2006,Quebec,Deferred custody and supervision,
2005/2006,Quebec,Supervised probation,
2005/2006,Quebec,Other community sentences,
2005/2006,Ontario,Total correctional services,10588
2005/2006,Ontario,Pre-trial detention,3948
2005/2006,Ontario,Secure custody,55
2005/2006,Ontario,Custody and supervision (secure),55
2005/2006,Ontario,Young Offenders Act (YOA) (secure),
2005/2006,Ontario,Open custody,99
2005/2006,Ontario,Custody and supervision (open),99
2005/2006,Ontario,Young Offenders Act (YOA) (open),0
2005/2006,Ontario,Total community sentences,6486
2005/2006,Ontario,Intensive support and supervision,1
2005/2006,Ontario,Deferred custody and supervision,108
2005/2006,Ontario,Supervised probation,6242
2005/2006,Ontario,Other community sentences,135
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
