"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Saskatchewan","2016A000247","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164201","8.3","114.5","","","","1"
"2003/2004","Saskatchewan","2016A000247","Sentenced open custody, actual-in count","Persons","249","units","0","v32164202","8.4","73.4","","","","1"
"2003/2004","Saskatchewan","2016A000247","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164203","8.5","72.7","","","","1"
"2003/2004","Saskatchewan","2016A000247","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164204","8.6","27.85","","","","2"
"2003/2004","Saskatchewan","2016A000247","Total community supervision count","Persons","249","units","0","v32164205","8.7","1592.8","","","","1"
"2003/2004","Saskatchewan","2016A000247","Probation, community supervision","Persons","249","units","0","v32164206","8.8","1524.3","","","","1"
"2003/2004","Saskatchewan","2016A000247","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164207","8.9","30.7","","","","1"
"2003/2004","Saskatchewan","2016A000247","Deferred custody, community supervision","Persons","249","units","0","v32164208","8.10","37.8","","","","1"
"2003/2004","Saskatchewan","2016A000247","Probation rate per 10,000 young persons","Rate","257","units","0","v32164209","8.12","162.92","","","","2"
"2003/2004","Alberta","2016A000248","Total actual-in count","Persons","249","units","0","v32164210","9.1","228.2","","","","1"
"2003/2004","Alberta","2016A000248","Total sentenced custody, actual-in count","Persons","249","units","0","v32164211","9.2","141.8","","","","1"
"2003/2004","Alberta","2016A000248","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164212","9.3","81.8","","","","1"
"2003/2004","Alberta","2016A000248","Sentenced open custody, actual-in count","Persons","249","units","0","v32164213","9.4","60.0","","","","1"
"2003/2004","Alberta","2016A000248","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164214","9.5","86.3","","","","1"
"2003/2004","Alberta","2016A000248","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164215","9.6","8.16","","","","2"
"2003/2004","Alberta","2016A000248","Total community supervision count","Persons","249","units","0","v32164216","9.7","2221.5","","","","1"
"2003/2004","Alberta","2016A000248","Probation, community supervision","Persons","249","units","0","v32164217","9.8","2108.0","","","","1"
"2003/2004","Alberta","2016A000248","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164218","9.9","41.7","","","","1"
"2003/2004","Alberta","2016A000248","Deferred custody, community supervision","Persons","249","units","0","v32164219","9.10","55.3","","","","1"
"2003/2004","Alberta","2016A000248","Intensive support and supervision, community supervision","Persons","249","units","0","v32164220","9.11","16.5","","","","1"
"2003/2004","Alberta","2016A000248","Probation rate per 10,000 young persons","Rate","257","units","0","v32164221","9.12","75.41","","","","2"
"2003/2004","British Columbia","2016A000259","Total actual-in count","Persons","249","units","0","v32164222","10.1","151.6","","","","1"
"2003/2004","British Columbia","2016A000259","Total sentenced custody, actual-in count","Persons","249","units","0","v32164223","10.2","89.8","","","","1"
"2003/2004","British Columbia","2016A000259","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164224","10.3","37.1","","","","1"
"2003/2004","British Columbia","2016A000259","Sentenced open custody, actual-in count","Persons","249","units","0","v32164225","10.4","52.7","","","","1"
"2003/2004","British Columbia","2016A000259","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164226","10.5","61.7","","","","1"
"2003/2004","British Columbia","2016A000259","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164227","10.6","4.68","","","","2"
"2003/2004","British Columbia","2016A000259","Total community supervision count","Persons","249","units","0","v32164228","10.7","1849.0","","","","1"
"2003/2004","British Columbia","2016A000259","Probation, community supervision","Persons","249","units","0","v32164229","10.8","1739.8","","","","1"
"2003/2004","British Columbia","2016A000259","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164230","10.9","11.1","","","","1"
"2003/2004","British Columbia","2016A000259","Deferred custody, community supervision","Persons","249","units","0","v32164231","10.10","26.3","","","","1"
"2003/2004","British Columbia","2016A000259","Intensive support and supervision, community supervision","Persons","249","units","0","v32164232","10.11","71.8","","","","1"
"2003/2004","British Columbia","2016A000259","Probation rate per 10,000 young persons","Rate","257","units","0","v32164233","10.12","53.75","","","","2"
"2003/2004","Yukon","2016A000260","Total actual-in count","Persons","249","units","0","v32164234","11.1","4.3","","","","1"
"2003/2004","Yukon","2016A000260","Total sentenced custody, actual-in count","Persons","249","units","0","v32164235","11.2","3.2","","","","1"
"2003/2004","Yukon","2016A000260","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164236","11.3","1.2","","","","1"
"2003/2004","Yukon","2016A000260","Sentenced open custody, actual-in count","Persons","249","units","0","v32164237","11.4","2.0","","","","1"
"2003/2004","Yukon","2016A000260","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164238","11.5","1.1","","","","1"
"2003/2004","Yukon","2016A000260","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164239","11.6","15.23","","","","2"
"2003/2004","Yukon","2016A000260","Total community supervision count","Persons","249","units","0","v32164240","11.7","32.6","","","","1"
"2003/2004","Yukon","2016A000260","Probation, community supervision","Persons","249","units","0","v32164241","11.8","27.1","","","","1"
"2003/2004","Yukon","2016A000260","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164242","11.9","1.0","","","","1"
"2003/2004","Yukon","2016A000260","Deferred custody, community supervision","Persons","249","units","0","v32164243","11.10","1.0","","","","1"
"2003/2004","Yukon","2016A000260","Intensive support and supervision, community supervision","Persons","249","units","0","v32164244","11.11","3.5","","","","1"
"2003/2004","Yukon","2016A000260","Probation rate per 10,000 young persons","Rate","257","units","0","v32164245","11.12","95.23","","","","2"
"2003/2004","Northwest Territories","2016A000261","Total actual-in count","Persons","249","units","0","v32164252","13.1","25.4","","","","1"
"2003/2004","Northwest Territories","2016A000261","Total sentenced custody, actual-in count","Persons","249","units","0","v32164253","13.2","21.9","","","","1"
"2003/2004","Northwest Territories","2016A000261","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164254","13.3","10.2","","","","1"
"2003/2004","Northwest Territories","2016A000261","Sentenced open custody, actual-in count","Persons","249","units","0","v32164255","13.4","11.8","","","","1"
"2003/2004","Northwest Territories","2016A000261","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164256","13.5","3.5","","","","1"
"2003/2004","Northwest Territories","2016A000261","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164257","13.6","58.77","","","","2"
"2003/2004","Northwest Territories","2016A000261","Total community supervision count","Persons","249","units","0","v44182202","13.7","","..","","","1"
"2003/2004","Northwest Territories","2016A000261","Probation, community supervision","Persons","249","units","0","v44182203","13.8","","..","","","1"
"2003/2004","Northwest Territories","2016A000261","Community portion of custody sentence, community supervision","Persons","249","units","0","v44182204","13.9","","..","","","1"
"2003/2004","Northwest Territories","2016A000261","Deferred custody, community supervision","Persons","249","units","0","v44182205","13.10","","..","","","1"
"2003/2004","Northwest Territories","2016A000261","Intensive support and supervision, community supervision","Persons","249","units","0","v44182206","13.11","","..","","","1"
"2003/2004","Northwest Territories","2016A000261","Probation rate per 10,000 young persons","Rate","257","units","0","v44182207","13.12","","..","","","2"
"2003/2004","Nunavut","2016A000262","Total actual-in count","Persons","249","units","0","v32164258","14.1","10.1","","","","1"
"2003/2004","Nunavut","2016A000262","Total sentenced custody, actual-in count","Persons","249","units","0","v32164259","14.2","4.8","","","","1"
"2003/2004","Nunavut","2016A000262","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164260","14.3","1.8","","","","1"
"2003/2004","Nunavut","2016A000262","Sentenced open custody, actual-in count","Persons","249","units","0","v32164261","14.4","3.0","","","","1"
"2003/2004","Nunavut","2016A000262","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164262","14.5","5.3","","","","1"
"2003/2004","Nunavut","2016A000262","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164263","14.6","26.21","","","","2"
"2003/2004","Nunavut","2016A000262","Total community supervision count","Persons","249","units","0","v32164264","14.7","61.6","","","","1"
"2003/2004","Nunavut","2016A000262","Probation, community supervision","Persons","249","units","0","v32164265","14.8","61.4","","","","1"
"2003/2004","Nunavut","2016A000262","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164266","14.9","0.2","","","","1"
"2003/2004","Nunavut","2016A000262","Probation rate per 10,000 young persons","Rate","257","units","0","v32164267","14.12","159.65","","","","2"
"2004/2005","Provinces and Territories","2016A000011124","Total actual-in count","Persons","249","units","0","v65927052","15.1","2246.0","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Total sentenced custody, actual-in count","Persons","249","units","0","v65927053","15.2","1307.5","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Sentenced secure custody, actual-in count","Persons","249","units","0","v65927054","15.3","701.0","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Sentenced open custody, actual-in count","Persons","249","units","0","v65927055","15.4","606.5","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v65927056","15.5","924.3","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Incarceration rates per 10,000 young persons","Rate","257","units","0","v65927057","15.6","8.70","","","","2"
"2004/2005","Provinces and Territories","2016A000011124","Total community supervision count","Persons","249","units","0","v65927058","15.7","21935.9","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Probation, community supervision","Persons","249","units","0","v65927059","15.8","20677.8","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Community portion of custody sentence, community supervision","Persons","249","units","0","v65927060","15.9","388.8","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Deferred custody, community supervision","Persons","249","units","0","v65927061","15.10","581.1","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Intensive support and supervision, community supervision","Persons","249","units","0","v65927062","15.11","288.3","","","","1"
"2004/2005","Provinces and Territories","2016A000011124","Probation rate per 10,000 young persons","Rate","257","units","0","v65927063","15.12","82.08","","","","2"
"2004/2005","Newfoundland and Labrador","2016A000210","Total actual-in count","Persons","249","units","0","v32164121","1.1","52.3","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Total sentenced custody, actual-in count","Persons","249","units","0","v32164122","1.2","44.0","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164123","1.3","18.1","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Sentenced open custody, actual-in count","Persons","249","units","0","v32164124","1.4","25.9","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164125","1.5","8.3","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164126","1.6","12.64","","","","2"
"2004/2005","Newfoundland and Labrador","2016A000210","Total community supervision count","Persons","249","units","0","v32164127","1.7","644.8","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Probation, community supervision","Persons","249","units","0","v32164128","1.8","627.3","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164129","1.9","13.1","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Deferred custody, community supervision","Persons","249","units","0","v32164130","1.10","2.3","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Intensive support and supervision, community supervision","Persons","249","units","0","v32164131","1.11","2.1","","","","1"
"2004/2005","Newfoundland and Labrador","2016A000210","Probation rate per 10,000 young persons","Rate","257","units","0","v32164132","1.12","151.70","","","","2"
"2004/2005","Prince Edward Island","2016A000211","Total actual-in count","Persons","249","units","0","v32164133","2.1","3.8","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Total sentenced custody, actual-in count","Persons","249","units","0","v32164134","2.2","3.2","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164135","2.3","1.5","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Sentenced open custody, actual-in count","Persons","249","units","0","v32164136","2.4","1.6","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164137","2.5","0.6","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164138","2.6","3.16","","","","2"
"2004/2005","Prince Edward Island","2016A000211","Total community supervision count","Persons","249","units","0","v32164139","2.7","132.3","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Probation, community supervision","Persons","249","units","0","v32164140","2.8","107.3","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164141","2.9","3.7","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Deferred custody, community supervision","Persons","249","units","0","v32164142","2.10","21.3","","","","1"
"2004/2005","Prince Edward Island","2016A000211","Intensive support and supervision, community supervision","Persons","249","units","0","v32164143","2.11","","..","","","1"
"2004/2005","Prince Edward Island","2016A000211","Probation rate per 10,000 young persons","Rate","257","units","0","v32164144","2.12","89.74","","","","2"
"2004/2005","Nova Scotia","2016A000212","Total actual-in count","Persons","249","units","0","v32164145","3.1","56.3","","","","1"
"2004/2005","Nova Scotia","2016A000212","Total sentenced custody, actual-in count","Persons","249","units","0","v32164146","3.2","38.4","","","","1"
"2004/2005","Nova Scotia","2016A000212","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164147","3.3","6.4","","","","1"
"2004/2005","Nova Scotia","2016A000212","Sentenced open custody, actual-in count","Persons","249","units","0","v32164148","3.4","32.0","","","","1"
"2004/2005","Nova Scotia","2016A000212","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164149","3.5","15.2","","","","1"
"2004/2005","Nova Scotia","2016A000212","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164150","3.6","7.53","","","","2"
"2004/2005","Nova Scotia","2016A000212","Total community supervision count","Persons","249","units","0","v32164151","3.7","651.4","","","","1"
"2004/2005","Nova Scotia","2016A000212","Probation, community supervision","Persons","249","units","0","v32164152","3.8","651.4","","","","1"
"2004/2005","Nova Scotia","2016A000212","Community portion of custody sentence, community supervision","Persons","249","units","0","v44182189","3.9","","..","","","1"
"2004/2005","Nova Scotia","2016A000212","Deferred custody, community supervision","Persons","249","units","0","v44182190","3.10","","..","","","1"
"2004/2005","Nova Scotia","2016A000212","Intensive support and supervision, community supervision","Persons","249","units","0","v44182191","3.11","","..","","","1"
"2004/2005","Nova Scotia","2016A000212","Probation rate per 10,000 young persons","Rate","257","units","0","v32164153","3.12","87.16","","","","2"
"2004/2005","New Brunswick","2016A000213","Total actual-in count","Persons","249","units","0","v32164154","4.1","74.0","","","","1"
"2004/2005","New Brunswick","2016A000213","Total sentenced custody, actual-in count","Persons","249","units","0","v32164155","4.2","59.2","","","","1"
"2004/2005","New Brunswick","2016A000213","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164156","4.3","31.6","","","","1"
"2004/2005","New Brunswick","2016A000213","Sentenced open custody, actual-in count","Persons","249","units","0","v32164157","4.4","27.6","","","","1"
"2004/2005","New Brunswick","2016A000213","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164158","4.5","12.5","","","","1"
"2004/2005","New Brunswick","2016A000213","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164159","4.6","12.70","","","","2"
"2004/2005","New Brunswick","2016A000213","Total community supervision count","Persons","249","units","0","v32164160","4.7","","..","","","1"
"2004/2005","New Brunswick","2016A000213","Probation, community supervision","Persons","249","units","0","v32164161","4.8","","..","","","1"
"2004/2005","New Brunswick","2016A000213","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164162","4.9","","..","","","1"
"2004/2005","New Brunswick","2016A000213","Deferred custody, community supervision","Persons","249","units","0","v32164163","4.10","","..","","","1"
"2004/2005","New Brunswick","2016A000213","Intensive support and supervision, community supervision","Persons","249","units","0","v44182192","4.11","","..","","","1"
"2004/2005","New Brunswick","2016A000213","Probation rate per 10,000 young persons","Rate","257","units","0","v32164164","4.12","","..","","","2"
"2004/2005","Quebec","2016A000224","Total actual-in count","Persons","249","units","0","v32164165","5.1","265.9","","","","1"
"2004/2005","Quebec","2016A000224","Total sentenced custody, actual-in count","Persons","249","units","0","v32164166","5.2","184.3","","","","1"
"2004/2005","Quebec","2016A000224","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164167","5.3","127.1","","","","1"
"2004/2005","Quebec","2016A000224","Sentenced open custody, actual-in count","Persons","249","units","0","v32164168","5.4","57.2","","","","1"
"2004/2005","Quebec","2016A000224","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164169","5.5","81.6","","","","1"
"2004/2005","Quebec","2016A000224","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164170","5.6","4.66","","","","2"
"2004/2005","Quebec","2016A000224","Total community supervision count","Persons","249","units","0","v32164171","5.7","3868.0","","","","1"
"2004/2005","Quebec","2016A000224","Probation, community supervision","Persons","249","units","0","v32164172","5.8","3663.0","","","","1"
"2004/2005","Quebec","2016A000224","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164173","5.9","","..","","","1"
"2004/2005","Quebec","2016A000224","Deferred custody, community supervision","Persons","249","units","0","v32164174","5.10","148.0","","","","1"
"2004/2005","Quebec","2016A000224","Intensive support and supervision, community supervision","Persons","249","units","0","v32164175","5.11","57.0","","","","1"
"2004/2005","Quebec","2016A000224","Probation rate per 10,000 young persons","Rate","257","units","0","v32164176","5.12","64.26","","","","2"
"2004/2005","Ontario","2016A000235","Total actual-in count","Persons","249","units","0","v32164177","6.1","962.9","","","","1"
"2004/2005","Ontario","2016A000235","Total sentenced custody, actual-in count","Persons","249","units","0","v32164178","6.2","484.9","","","","1"
"2004/2005","Ontario","2016A000235","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164179","6.3","253.8","","","","1"
"2004/2005","Ontario","2016A000235","Sentenced open custody, actual-in count","Persons","249","units","0","v32164180","6.4","231.2","","","","1"
"2004/2005","Ontario","2016A000235","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164181","6.5","478.0","","","","1"
"2004/2005","Ontario","2016A000235","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164182","6.6","9.51","","","","2"
"2004/2005","Ontario","2016A000235","Total community supervision count","Persons","249","units","0","v32164183","6.7","10008.3","","","","1"
"2004/2005","Ontario","2016A000235","Probation, community supervision","Persons","249","units","0","v32164184","6.8","9710.5","","","","1"
"2004/2005","Ontario","2016A000235","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164185","6.9","158.3","","","","1"
"2004/2005","Ontario","2016A000235","Deferred custody, community supervision","Persons","249","units","0","v32164186","6.10","139.5","","","","1"
"2004/2005","Ontario","2016A000235","Intensive support and supervision, community supervision","Persons","249","units","0","v44182193","6.11","","..","","","1"
"2004/2005","Ontario","2016A000235","Probation rate per 10,000 young persons","Rate","257","units","0","v32164187","6.12","95.87","","","","2"
"2004/2005","Manitoba","2016A000246","Total actual-in count","Persons","249","units","0","v32164188","7.1","194.3","","","","1"
"2004/2005","Manitoba","2016A000246","Total sentenced custody, actual-in count","Persons","249","units","0","v32164189","7.2","91.6","","","","1"
"2004/2005","Manitoba","2016A000246","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164190","7.3","36.9","","","","1"
"2004/2005","Manitoba","2016A000246","Sentenced open custody, actual-in count","Persons","249","units","0","v32164191","7.4","54.7","","","","1"
"2004/2005","Manitoba","2016A000246","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164192","7.5","94.3","","","","1"
"2004/2005","Manitoba","2016A000246","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164193","7.6","18.84","","","","2"
"2004/2005","Manitoba","2016A000246","Total community supervision count","Persons","249","units","0","v32164194","7.7","1576.8","","","","1"
"2004/2005","Manitoba","2016A000246","Probation, community supervision","Persons","249","units","0","v32164195","7.8","1500.2","","","","1"
"2004/2005","Manitoba","2016A000246","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164196","7.9","36.0","","","","1"
"2004/2005","Manitoba","2016A000246","Deferred custody, community supervision","Persons","249","units","0","v32164197","7.10","40.6","","","","1"
"2004/2005","Manitoba","2016A000246","Probation rate per 10,000 young persons","Rate","257","units","0","v32164198","7.12","145.46","","","","2"
"2004/2005","Saskatchewan","2016A000247","Total actual-in count","Persons","249","units","0","v32164199","8.1","233.7","","","","1"
"2004/2005","Saskatchewan","2016A000247","Total sentenced custody, actual-in count","Persons","249","units","0","v32164200","8.2","159.6","","","","1"
"2004/2005","Saskatchewan","2016A000247","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164201","8.3","96.6","","","","1"
"2004/2005","Saskatchewan","2016A000247","Sentenced open custody, actual-in count","Persons","249","units","0","v32164202","8.4","63.0","","","","1"
"2004/2005","Saskatchewan","2016A000247","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164203","8.5","74.2","","","","1"
"2004/2005","Saskatchewan","2016A000247","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164204","8.6","25.26","","","","2"
"2004/2005","Saskatchewan","2016A000247","Total community supervision count","Persons","249","units","0","v32164205","8.7","1515.2","","","","1"
"2004/2005","Saskatchewan","2016A000247","Probation, community supervision","Persons","249","units","0","v32164206","8.8","1381.3","","","","1"
"2004/2005","Saskatchewan","2016A000247","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164207","8.9","60.8","","","","1"
"2004/2005","Saskatchewan","2016A000247","Deferred custody, community supervision","Persons","249","units","0","v32164208","8.10","73.1","","","","1"
"2004/2005","Saskatchewan","2016A000247","Probation rate per 10,000 young persons","Rate","257","units","0","v32164209","8.12","149.27","","","","2"
"2004/2005","Alberta","2016A000248","Total actual-in count","Persons","249","units","0","v32164210","9.1","207.3","","","","1"
"2004/2005","Alberta","2016A000248","Total sentenced custody, actual-in count","Persons","249","units","0","v32164211","9.2","126.2","","","","1"
"2004/2005","Alberta","2016A000248","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164212","9.3","77.3","","","","1"
"2004/2005","Alberta","2016A000248","Sentenced open custody, actual-in count","Persons","249","units","0","v32164213","9.4","48.8","","","","1"
"2004/2005","Alberta","2016A000248","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164214","9.5","81.1","","","","1"
"2004/2005","Alberta","2016A000248","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164215","9.6","7.37","","","","2"
"2004/2005","Alberta","2016A000248","Total community supervision count","Persons","249","units","0","v32164216","9.7","1905.6","","","","1"
"2004/2005","Alberta","2016A000248","Probation, community supervision","Persons","249","units","0","v32164217","9.8","1726.8","","","","1"
"2004/2005","Alberta","2016A000248","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164218","9.9","73.5","","","","1"
"2004/2005","Alberta","2016A000248","Deferred custody, community supervision","Persons","249","units","0","v32164219","9.10","87.8","","","","1"
"2004/2005","Alberta","2016A000248","Intensive support and supervision, community supervision","Persons","249","units","0","v32164220","9.11","17.6","","","","1"
"2004/2005","Alberta","2016A000248","Probation rate per 10,000 young persons","Rate","257","units","0","v32164221","9.12","61.44","","","","2"
"2004/2005","British Columbia","2016A000259","Total actual-in count","Persons","249","units","0","v32164222","10.1","153.3","","","","1"
"2004/2005","British Columbia","2016A000259","Total sentenced custody, actual-in count","Persons","249","units","0","v32164223","10.2","87.2","","","","1"
"2004/2005","British Columbia","2016A000259","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164224","10.3","38.0","","","","1"
"2004/2005","British Columbia","2016A000259","Sentenced open custody, actual-in count","Persons","249","units","0","v32164225","10.4","49.2","","","","1"
"2004/2005","British Columbia","2016A000259","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164226","10.5","66.2","","","","1"
"2004/2005","British Columbia","2016A000259","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164227","10.6","4.72","","","","2"
"2004/2005","British Columbia","2016A000259","Total community supervision count","Persons","249","units","0","v32164228","10.7","1565.6","","","","1"
"2004/2005","British Columbia","2016A000259","Probation, community supervision","Persons","249","units","0","v32164229","10.8","1248.5","","","","1"
"2004/2005","British Columbia","2016A000259","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164230","10.9","40.2","","","","1"
"2004/2005","British Columbia","2016A000259","Deferred custody, community supervision","Persons","249","units","0","v32164231","10.10","67.6","","","","1"
"2004/2005","British Columbia","2016A000259","Intensive support and supervision, community supervision","Persons","249","units","0","v32164232","10.11","209.3","","","","1"
"2004/2005","British Columbia","2016A000259","Probation rate per 10,000 young persons","Rate","257","units","0","v32164233","10.12","38.44","","","","2"
"2004/2005","Yukon","2016A000260","Total actual-in count","Persons","249","units","0","v32164234","11.1","4.7","","","","1"
"2004/2005","Yukon","2016A000260","Total sentenced custody, actual-in count","Persons","249","units","0","v32164235","11.2","3.2","","","","1"
"2004/2005","Yukon","2016A000260","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164236","11.3","0.8","","","","1"
"2004/2005","Yukon","2016A000260","Sentenced open custody, actual-in count","Persons","249","units","0","v32164237","11.4","2.5","","","","1"
"2004/2005","Yukon","2016A000260","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164238","11.5","1.1","","","","1"
"2004/2005","Yukon","2016A000260","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164239","11.6","16.49","","","","2"
"2004/2005","Yukon","2016A000260","Total community supervision count","Persons","249","units","0","v32164240","11.7","22.0","","","","1"
"2004/2005","Yukon","2016A000260","Probation, community supervision","Persons","249","units","0","v32164241","11.8","15.8","","","","1"
"2004/2005","Yukon","2016A000260","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164242","11.9","2.9","","","","1"
"2004/2005","Yukon","2016A000260","Deferred custody, community supervision","Persons","249","units","0","v32164243","11.10","1.0","","","","1"
"2004/2005","Yukon","2016A000260","Intensive support and supervision, community supervision","Persons","249","units","0","v32164244","11.11","2.3","","","","1"
"2004/2005","Yukon","2016A000260","Probation rate per 10,000 young persons","Rate","257","units","0","v32164245","11.12","55.38","","","","2"
"2004/2005","Northwest Territories","2016A000261","Total actual-in count","Persons","249","units","0","v32164252","13.1","23.8","","","","1"
"2004/2005","Northwest Territories","2016A000261","Total sentenced custody, actual-in count","Persons","249","units","0","v32164253","13.2","16.8","","","","1"
"2004/2005","Northwest Territories","2016A000261","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164254","13.3","8.1","","","","1"
"2004/2005","Northwest Territories","2016A000261","Sentenced open custody, actual-in count","Persons","249","units","0","v32164255","13.4","8.7","","","","1"
"2004/2005","Northwest Territories","2016A000261","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164256","13.5","6.5","","","","1"
"2004/2005","Northwest Territories","2016A000261","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164257","13.6","53.32","","","","2"
"2004/2005","Northwest Territories","2016A000261","Total community supervision count","Persons","249","units","0","v44182202","13.7","","..","","","1"
"2004/2005","Northwest Territories","2016A000261","Probation, community supervision","Persons","249","units","0","v44182203","13.8","","..","","","1"
"2004/2005","Northwest Territories","2016A000261","Community portion of custody sentence, community supervision","Persons","249","units","0","v44182204","13.9","","..","","","1"
"2004/2005","Northwest Territories","2016A000261","Deferred custody, community supervision","Persons","249","units","0","v44182205","13.10","","..","","","1"
"2004/2005","Northwest Territories","2016A000261","Intensive support and supervision, community supervision","Persons","249","units","0","v44182206","13.11","","..","","","1"
"2004/2005","Northwest Territories","2016A000261","Probation rate per 10,000 young persons","Rate","257","units","0","v44182207","13.12","","..","","","2"
