REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445638,2.1.11,42,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Intensive support and supervision,Number,223,units,0,v41444261,2.1.12,0,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445639,2.1.13,2,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Supervised probation,Number,223,units,0,v32445640,2.1.14,171,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Other community sentences,Number,223,units,0,v32445641,2.1.15,49,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Total correctional services,Number,223,units,0,v32445642,2.2.1,440,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Pre-trial detention,Number,223,units,0,v32445643,2.2.2,64,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Provincial director remand,Number,223,units,0,v41444262,2.2.3,1,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Secure custody,Number,223,units,0,v32445644,2.2.4,23,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445645,2.2.5,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445646,2.2.6,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Open custody,Number,223,units,0,v32445647,2.2.7,24,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Custody and supervision (open),Number,223,units,0,v32445648,2.2.8,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445649,2.2.9,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Total community sentences,Number,223,units,0,v32445650,2.2.10,328,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445651,2.2.11,44,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Intensive support and supervision,Number,223,units,0,v41444263,2.2.12,0,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Deferred custody and supervision,Number,223,units,0,v41444264,2.2.13,5,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Supervised probation,Number,223,units,0,v32445652,2.2.14,203,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth releases,Other community sentences,Number,223,units,0,v41444265,2.2.15,76,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Total correctional services,Number,223,units,0,v32445653,3.1.1,317,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Pre-trial detention,Number,223,units,0,v32445654,3.1.2,22,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Provincial director remand,Number,223,units,0,v32445655,3.1.3,9,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Secure custody,Number,223,units,0,v32445656,3.1.4,7,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445657,3.1.5,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445658,3.1.6,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Open custody,Number,223,units,0,v32445659,3.1.7,22,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445660,3.1.8,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445661,3.1.9,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Total community sentences,Number,223,units,0,v32445662,3.1.10,257,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445663,3.1.11,37,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445664,3.1.12,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445665,3.1.13,1,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Supervised probation,Number,223,units,0,v32445666,3.1.14,125,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth admissions,Other community sentences,Number,223,units,0,v32445667,3.1.15,94,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Total correctional services,Number,223,units,0,v32445668,3.2.1,358,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Pre-trial detention,Number,223,units,0,v32445669,3.2.2,21,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Provincial director remand,Number,223,units,0,v32445670,3.2.3,9,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Secure custody,Number,223,units,0,v32445671,3.2.4,16,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445672,3.2.5,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445673,3.2.6,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Open custody,Number,223,units,0,v32445674,3.2.7,31,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Custody and supervision (open),Number,223,units,0,v32445675,3.2.8,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445676,3.2.9,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Total community sentences,Number,223,units,0,v32445677,3.2.10,281,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445678,3.2.11,37,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Intensive support and supervision,Number,223,units,0,v32445679,3.2.12,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445680,3.2.13,2,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Supervised probation,Number,223,units,0,v32445681,3.2.14,147,,,,0
2012/2013,Prince Edward Island,2016A000211,Youth releases,Other community sentences,Number,223,units,0,v32445682,3.2.15,95,,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Total correctional services,Number,223,units,0,v32445683,4.1.1,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Pre-trial detention,Number,223,units,0,v32445684,4.1.2,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Provincial director remand,Number,223,units,0,v32445685,4.1.3,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Secure custody,Number,223,units,0,v32445686,4.1.4,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445687,4.1.5,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445688,4.1.6,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Open custody,Number,223,units,0,v32445689,4.1.7,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445690,4.1.8,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v41444266,4.1.9,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Total community sentences,Number,223,units,0,v32445691,4.1.10,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v41444267,4.1.11,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Intensive support and supervision,Number,223,units,0,v41444268,4.1.12,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Deferred custody and supervision,Number,223,units,0,v41444269,4.1.13,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Supervised probation,Number,223,units,0,v32860962,4.1.14,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth admissions,Other community sentences,Number,223,units,0,v41444270,4.1.15,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Total correctional services,Number,223,units,0,v32445692,4.2.1,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Pre-trial detention,Number,223,units,0,v32445693,4.2.2,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Provincial director remand,Number,223,units,0,v32445694,4.2.3,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Secure custody,Number,223,units,0,v32445695,4.2.4,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445696,4.2.5,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445697,4.2.6,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Open custody,Number,223,units,0,v32445698,4.2.7,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Custody and supervision (open),Number,223,units,0,v32445699,4.2.8,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445700,4.2.9,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Total community sentences,Number,223,units,0,v32445701,4.2.10,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v79960451,4.2.11,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Intensive support and supervision,Number,223,units,0,v79960452,4.2.12,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Deferred custody and supervision,Number,223,units,0,v79960453,4.2.13,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Supervised probation,Number,223,units,0,v79960454,4.2.14,,..,,,0
2012/2013,Nova Scotia,2016A000212,Youth releases,Other community sentences,Number,223,units,0,v79960455,4.2.15,,..,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Total correctional services,Number,223,units,0,v32445702,5.1.1,1061,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Pre-trial detention,Number,223,units,0,v32445703,5.1.2,265,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Provincial director remand,Number,223,units,0,v32445704,5.1.3,66,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Secure custody,Number,223,units,0,v32445705,5.1.4,75,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445706,5.1.5,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445707,5.1.6,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Open custody,Number,223,units,0,v32445708,5.1.7,43,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445709,5.1.8,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445710,5.1.9,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Total community sentences,Number,223,units,0,v32445711,5.1.10,612,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445712,5.1.11,96,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445713,5.1.12,,..,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445714,5.1.13,69,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Supervised probation,Number,223,units,0,v32445715,5.1.14,260,,,,0
2012/2013,New Brunswick,2016A000213,Youth admissions,Other community sentences,Number,223,units,0,v32445716,5.1.15,187,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Total correctional services,Number,223,units,0,v32445717,5.2.1,1129,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Pre-trial detention,Number,223,units,0,v32445718,5.2.2,259,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Provincial director remand,Number,223,units,0,v32445719,5.2.3,64,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Secure custody,Number,223,units,0,v32445720,5.2.4,73,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445721,5.2.5,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445722,5.2.6,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth releases,Open custody,Number,223,units,0,v32445723,5.2.7,46,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Custody and supervision (open),Number,223,units,0,v32445724,5.2.8,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445725,5.2.9,,..,,t,0
2012/2013,New Brunswick,2016A000213,Youth releases,Total community sentences,Number,223,units,0,v32445726,5.2.10,687,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445727,5.2.11,92,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Intensive support and supervision,Number,223,units,0,v32445728,5.2.12,,..,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445729,5.2.13,88,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Supervised probation,Number,223,units,0,v32445730,5.2.14,307,,,,0
2012/2013,New Brunswick,2016A000213,Youth releases,Other community sentences,Number,223,units,0,v32445731,5.2.15,200,,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Total correctional services,Number,223,units,0,v32445732,6.1.1,,..,,,0
2012/2013,Quebec,2016A000224,Youth admissions,Pre-trial detention,Number,223,units,0,v32445733,6.1.2,,..,,,0
