REF_DATE,GEO,DGUID,Initial entry status,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,New Brunswick,2016A000213,Custody and supervision (secure),Number,223,units,0,v32445418,5.4,,..,,t,0
2012/2013,New Brunswick,2016A000213,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445419,5.5,,..,,t,0
2012/2013,New Brunswick,2016A000213,Open custody,Number,223,units,0,v32445420,5.6,7,,,,0
2012/2013,New Brunswick,2016A000213,Custody and supervision (open),Number,223,units,0,v32445421,5.7,,..,,t,0
2012/2013,New Brunswick,2016A000213,Young Offenders Act (YOA) (open),Number,223,units,0,v32445422,5.8,,..,,t,0
2012/2013,New Brunswick,2016A000213,Total community sentences,Number,223,units,0,v32445423,5.9,286,,,,0
2012/2013,New Brunswick,2016A000213,Intensive support and supervision,Number,223,units,0,v32445424,5.1,,..,,,0
2012/2013,New Brunswick,2016A000213,Deferred custody and supervision,Number,223,units,0,v32445425,5.11,14,,,,0
2012/2013,New Brunswick,2016A000213,Supervised probation,Number,223,units,0,v32445426,5.12,220,,,,0
2012/2013,New Brunswick,2016A000213,Other community sentences,Number,223,units,0,v32445427,5.13,52,,,,0
2012/2013,Quebec,2016A000224,Total correctional services,Number,223,units,0,v32445428,6.1,,..,,,0
2012/2013,Quebec,2016A000224,Pre-trial detention,Number,223,units,0,v32445429,6.2,,..,,,0
2012/2013,Quebec,2016A000224,Secure custody,Number,223,units,0,v32445430,6.3,,..,,,0
2012/2013,Quebec,2016A000224,Custody and supervision (secure),Number,223,units,0,v32445431,6.4,,..,,t,0
2012/2013,Quebec,2016A000224,Young Offenders Act (YOA) (secure),Number,223,units,0,v79960434,6.5,,..,,t,0
2012/2013,Quebec,2016A000224,Open custody,Number,223,units,0,v32445432,6.6,,..,,,0
2012/2013,Quebec,2016A000224,Custody and supervision (open),Number,223,units,0,v32445433,6.7,,..,,t,0
2012/2013,Quebec,2016A000224,Young Offenders Act (YOA) (open),Number,223,units,0,v79960435,6.8,,..,,t,0
2012/2013,Quebec,2016A000224,Total community sentences,Number,223,units,0,v32445434,6.9,,..,,,0
2012/2013,Quebec,2016A000224,Intensive support and supervision,Number,223,units,0,v32445435,6.1,,..,,,0
2012/2013,Quebec,2016A000224,Deferred custody and supervision,Number,223,units,0,v32445436,6.11,,..,,,0
2012/2013,Quebec,2016A000224,Supervised probation,Number,223,units,0,v32445437,6.12,,..,,,0
2012/2013,Quebec,2016A000224,Other community sentences,Number,223,units,0,v32445438,6.13,,..,,,0
2012/2013,Ontario,2016A000235,Total correctional services,Number,223,units,0,v32445439,7.1,5800,,,,0
2012/2013,Ontario,2016A000235,Pre-trial detention,Number,223,units,0,v32445440,7.2,2127,,,,0
2012/2013,Ontario,2016A000235,Secure custody,Number,223,units,0,v32445441,7.3,35,,,,0
2012/2013,Ontario,2016A000235,Custody and supervision (secure),Number,223,units,0,v32445442,7.4,,..,,t,0
2012/2013,Ontario,2016A000235,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445443,7.5,,..,,t,0
2012/2013,Ontario,2016A000235,Open custody,Number,223,units,0,v32445444,7.6,44,,,,0
2012/2013,Ontario,2016A000235,Custody and supervision (open),Number,223,units,0,v32445445,7.7,,..,,t,0
2012/2013,Ontario,2016A000235,Young Offenders Act (YOA) (open),Number,223,units,0,v32445446,7.8,,..,,t,0
2012/2013,Ontario,2016A000235,Total community sentences,Number,223,units,0,v32445447,7.9,3594,,,,0
2012/2013,Ontario,2016A000235,Intensive support and supervision,Number,223,units,0,v32445448,7.1,3,,,,0
2012/2013,Ontario,2016A000235,Deferred custody and supervision,Number,223,units,0,v32445449,7.11,83,,,,0
2012/2013,Ontario,2016A000235,Supervised probation,Number,223,units,0,v32445450,7.12,3464,,,,0
2012/2013,Ontario,2016A000235,Other community sentences,Number,223,units,0,v32445451,7.13,44,,,,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Total correctional services,Number,223,units,0,v32445452,8.1,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Pre-trial detention,Number,223,units,0,v41443609,8.2,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Secure custody,Number,223,units,0,v32445453,8.3,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Custody and supervision (secure),Number,223,units,0,v32445454,8.4,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445455,8.5,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Open custody,Number,223,units,0,v32445456,8.6,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Custody and supervision (open),Number,223,units,0,v32445457,8.7,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Young Offenders Act (YOA) (open),Number,223,units,0,v32445458,8.8,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Total community sentences,Number,223,units,0,v32445459,8.9,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Intensive support and supervision,Number,223,units,0,v43735728,8.1,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Deferred custody and supervision,Number,223,units,0,v32445460,8.11,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Supervised probation,Number,223,units,0,v32445461,8.12,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Other community sentences,Number,223,units,0,v32445462,8.13,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Total correctional services,Number,223,units,0,v32445463,9.1,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Pre-trial detention,Number,223,units,0,v32445464,9.2,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Secure custody,Number,223,units,0,v32445465,9.3,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Custody and supervision (secure),Number,223,units,0,v32445466,9.4,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445467,9.5,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Open custody,Number,223,units,0,v32445468,9.6,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Custody and supervision (open),Number,223,units,0,v32445469,9.7,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Young Offenders Act (YOA) (open),Number,223,units,0,v32445470,9.8,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Total community sentences,Number,223,units,0,v32445471,9.9,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Intensive support and supervision,Number,223,units,0,v32445472,9.1,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Deferred custody and supervision,Number,223,units,0,v32445473,9.11,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Supervised probation,Number,223,units,0,v32445474,9.12,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Other community sentences,Number,223,units,0,v32445475,9.13,,..,,t,0
2012/2013,Manitoba,2016A000246,Total correctional services,Number,223,units,0,v32445476,10.1,4606,,,,0
2012/2013,Manitoba,2016A000246,Pre-trial detention,Number,223,units,0,v32445477,10.2,2391,,,,0
2012/2013,Manitoba,2016A000246,Secure custody,Number,223,units,0,v32445478,10.3,127,,,,0
2012/2013,Manitoba,2016A000246,Custody and supervision (secure),Number,223,units,0,v32445479,10.4,,..,,t,0
2012/2013,Manitoba,2016A000246,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445480,10.5,,..,,t,0
2012/2013,Manitoba,2016A000246,Open custody,Number,223,units,0,v32445481,10.6,124,,,,0
2012/2013,Manitoba,2016A000246,Custody and supervision (open),Number,223,units,0,v32445482,10.7,,..,,t,0
2012/2013,Manitoba,2016A000246,Young Offenders Act (YOA) (open),Number,223,units,0,v32445483,10.8,,..,,t,0
2012/2013,Manitoba,2016A000246,Total community sentences,Number,223,units,0,v32445484,10.9,1964,,,,0
2012/2013,Manitoba,2016A000246,Intensive support and supervision,Number,223,units,0,v32445485,10.1,,..,,,0
2012/2013,Manitoba,2016A000246,Deferred custody and supervision,Number,223,units,0,v32445486,10.11,73,,,,0
2012/2013,Manitoba,2016A000246,Supervised probation,Number,223,units,0,v32445487,10.12,957,,,,0
2012/2013,Manitoba,2016A000246,Other community sentences,Number,223,units,0,v32445488,10.13,934,,,,0
2012/2013,Saskatchewan,2016A000247,Total correctional services,Number,223,units,0,v32445489,11.1,,..,,,0
2012/2013,Saskatchewan,2016A000247,Pre-trial detention,Number,223,units,0,v32861025,11.2,,..,,,0
2012/2013,Saskatchewan,2016A000247,Secure custody,Number,223,units,0,v32445490,11.3,,..,,,0
2012/2013,Saskatchewan,2016A000247,Custody and supervision (secure),Number,223,units,0,v79960436,11.4,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Young Offenders Act (YOA) (secure),Number,223,units,0,v79960437,11.5,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Open custody,Number,223,units,0,v32445491,11.6,,..,,,0
2012/2013,Saskatchewan,2016A000247,Custody and supervision (open),Number,223,units,0,v79960438,11.7,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Young Offenders Act (YOA) (open),Number,223,units,0,v79960439,11.8,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Total community sentences,Number,223,units,0,v32445492,11.9,,..,,,0
2012/2013,Saskatchewan,2016A000247,Intensive support and supervision,Number,223,units,0,v79960440,11.1,,..,,,0
2012/2013,Saskatchewan,2016A000247,Deferred custody and supervision,Number,223,units,0,v79960441,11.11,,..,,,0
2012/2013,Saskatchewan,2016A000247,Supervised probation,Number,223,units,0,v32445493,11.12,,..,,,0
2012/2013,Saskatchewan,2016A000247,Other community sentences,Number,223,units,0,v32445494,11.13,,..,,,0
2012/2013,Alberta,2016A000248,Total correctional services,Number,223,units,0,v32445495,12.1,,..,,,0
2012/2013,Alberta,2016A000248,Pre-trial detention,Number,223,units,0,v32445496,12.2,,..,,,0
2012/2013,Alberta,2016A000248,Secure custody,Number,223,units,0,v32445497,12.3,,..,,,0
2012/2013,Alberta,2016A000248,Custody and supervision (secure),Number,223,units,0,v32445498,12.4,,..,,t,0
2012/2013,Alberta,2016A000248,Young Offenders Act (YOA) (secure),Number,223,units,0,v41551923,12.5,,..,,t,0
2012/2013,Alberta,2016A000248,Open custody,Number,223,units,0,v32445499,12.6,,..,,,0
2012/2013,Alberta,2016A000248,Custody and supervision (open),Number,223,units,0,v32445500,12.7,,..,,t,0
2012/2013,Alberta,2016A000248,Young Offenders Act (YOA) (open),Number,223,units,0,v41551924,12.8,,..,,t,0
2012/2013,Alberta,2016A000248,Total community sentences,Number,223,units,0,v32445501,12.9,,..,,,0
2012/2013,Alberta,2016A000248,Intensive support and supervision,Number,223,units,0,v32445502,12.1,,..,,,0
